Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR34661416,ncRNA-Seq,151,1841602040,PRJNA1294960,SAMN50134122,625281542,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX29799407,Nrf2 LKO,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124387,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124387,Sperm,SRP602758,Floxed Nrf2 + Albumin-Cre (Nrf2 liver KO)
SRR34661417,ncRNA-Seq,151,1895209909,PRJNA1294960,SAMN50134123,648449405,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX29799406,Nrf2 LKO,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124386,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124386,Sperm,SRP602758,Floxed Nrf2 + Albumin-Cre (Nrf2 liver KO)
SRR34661418,ncRNA-Seq,151,1740904670,PRJNA1294960,SAMN50134124,597015385,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX29799405,Nrf2 LKO,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124385,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:20:00Z,1,GSM9124385,Sperm,SRP602758,Floxed Nrf2 + Albumin-Cre (Nrf2 liver KO)
SRR34661419,ncRNA-Seq,151,1539666366,PRJNA1294960,SAMN50134125,528377910,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29799404,Nrf2 LKO,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124384,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124384,Sperm,SRP602758,Floxed Nrf2 + Albumin-Cre (Nrf2 liver KO)
SRR34661420,ncRNA-Seq,151,1860648727,PRJNA1294960,SAMN50134126,638479710,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX29799403,Nrf2 Flox,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124383,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:20:00Z,1,GSM9124383,Sperm,SRP602758,Floxed Nrf2 (Nrf2 control)
SRR34661421,ncRNA-Seq,151,2157126506,PRJNA1294960,SAMN50134127,738768286,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29799402,Nrf2 Flox,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124382,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124382,Sperm,SRP602758,Floxed Nrf2 (Nrf2 control)
SRR34661422,ncRNA-Seq,151,2128151116,PRJNA1294960,SAMN50134128,736234920,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29799401,Nrf2 Flox,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124381,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124381,Sperm,SRP602758,Floxed Nrf2 (Nrf2 control)
SRR34661423,ncRNA-Seq,151,1559469714,PRJNA1294960,SAMN50134129,527772682,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX29799400,Nrf2 Flox,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124380,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124380,Sperm,SRP602758,Floxed Nrf2 (Nrf2 control)
SRR34661424,ncRNA-Seq,65,1176069310,PRJNA1294960,SAMN50134130,511003502,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29799399,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124379,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124379,Sperm,SRP602758,Nrf2 KO Ethanol (alcohol exposed)
SRR34661425,ncRNA-Seq,68,912718691,PRJNA1294960,SAMN50134131,400331134,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX29799398,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124378,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124378,Sperm,SRP602758,Nrf2 KO Ethanol (alcohol exposed)
