Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR34661416 - illumina_universal_adapter	(1, 1.639876550093309e-05)	(2, 9.839259300559854e-05)	(3, 0.0001639876550093309)	(4, 0.00024598148251399636)	(5, 0.0003443740755195949)	(6, 0.000360772841020528)	(7, 0.0005329598787803254)	(8, 0.006608702496876035)	(9, 0.006698895707131167)	(10, 0.010070481894123011)	(15, 0.010708393872109308)	(20, 0.011503733998904564)	(25, 0.07182659289408694)	(30, 0.568227063866632)	(35, 1.2219458119192788)	(40, 6.774064368434344)	(45, 16.99490326368231)	(50, 28.96188926897583)	(55, 45.63208057697417)	(60, 65.74354298608401)	(65, 78.66478463501268)	(70, 83.39119747065442)	(75, 87.92916553241874)	(80, 90.15806114115729)	(85, 92.03295167939757)	(90, 93.14139671565523)	(95, 94.63473553710877)	(100, 96.10542930328204)	(105, 97.1283367388103)	(110, 97.78132574179816)	(115, 97.99967202468999)	(120, 98.17835953309434)	(125, 98.2644481323446)	(130, 98.32921013706088)	(135, 98.3745346850289)	(140, 98.3999314531602)																																						
SRR34661416 - polya	(1, 0.0016808734638456416)	(2, 0.002845185814411891)	(3, 0.0049688259467827265)	(4, 0.006411917310864838)	(5, 0.008527358060485206)	(6, 0.010528007451599044)	(7, 0.01826822476803946)	(8, 0.027377739003807793)	(9, 0.03716780200786485)	(10, 0.07201353882079756)	(15, 0.15731663720355132)	(20, 0.19791342107766127)	(25, 0.21595370300523778)	(30, 0.23019439096624805)	(35, 0.24235899521484025)	(40, 0.25409559168385804)	(45, 0.264744950000164)	(50, 0.2775195883253908)	(55, 0.2832952335348195)	(60, 0.2861453389788816)	(65, 0.2879869203446364)	(70, 0.28933653874536325)	(75, 0.29056152652828293)	(80, 0.29123715566692143)	(85, 0.29177503517535197)	(90, 0.29211448962122133)	(95, 0.2924687029560415)	(100, 0.29266712801860273)	(105, 0.2928278359205119)	(110, 0.29301970147687284)	(115, 0.2931574511070807)	(120, 0.29327388234213736)	(125, 0.2933952332068442)	(130, 0.2935001853060501)	(135, 0.29370844962791204)	(140, 0.2937838839492163)																																						
SRR34661416 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001639876550093309)	(4, 0.0019022567981082383)	(5, 0.0020252475393652365)	(6, 0.0021154407496203685)	(7, 0.002336824083882965)	(8, 0.0023860203803857645)	(9, 0.00244341605963903)	(10, 0.0025237700105936027)	(15, 0.0025975644553478013)	(20, 0.002684477912502747)	(25, 0.0027189153200547064)	(30, 0.0027845103820584387)	(35, 0.002818947789610398)	(40, 0.002861584579912824)	(45, 0.0029320992715668364)	(50, 0.0030567298893739285)	(55, 0.003258434705035405)	(60, 0.00342406223659483)	(65, 0.0040816527331822465)	(70, 0.005508345331763425)	(75, 0.020787075148982787)	(80, 0.04258103449972286)	(85, 0.1622756238910335)	(90, 0.4504872073230327)	(95, 0.7562257913224293)	(100, 1.453475062397303)	(105, 2.2080593372930886)	(110, 5.803288608433557)	(115, 15.559657069015845)	(120, 26.505172170638993)	(125, 43.159474714743475)	(130, 61.53926684399198)	(135, 77.93014617859568)	(140, 81.47912765127042)																																						
SRR34661417 - illumina_universal_adapter	(1, 1.5934910352982962e-05)	(2, 0.00011951182764737223)	(3, 0.0002868283863536933)	(4, 0.0002868283863536933)	(5, 0.0004939822209424719)	(6, 0.0005258520416484378)	(7, 0.0006692662348252845)	(8, 0.012182238964855475)	(9, 0.012245978606267407)	(10, 0.014607532320579483)	(15, 0.014851336448980124)	(20, 0.015233774297451713)	(25, 0.06021165225978142)	(30, 0.5159166250433529)	(35, 1.480816877683389)	(40, 8.161776627773003)	(45, 19.793236570714868)	(50, 32.41353259513799)	(55, 46.76224213430915)	(60, 62.92034799613323)	(65, 74.29456430728276)	(70, 79.75893189570698)	(75, 84.77420909263512)	(80, 86.97668459689338)	(85, 88.67046517748024)	(90, 89.92191814252487)	(95, 92.15020820155495)	(100, 94.59473658756603)	(105, 96.37795981996419)	(110, 97.50275733705021)	(115, 97.78809102881279)	(120, 98.05970476276146)	(125, 98.1564041727475)	(130, 98.22580070733474)	(135, 98.27249477514209)	(140, 98.2954426395414)																																						
SRR34661417 - polya	(1, 0.0027009673048306124)	(2, 0.004174946512481536)	(3, 0.006597052886134947)	(4, 0.008644688866493258)	(5, 0.011265981619558956)	(6, 0.014739792076509241)	(7, 0.028125116773014932)	(8, 0.04114393853140201)	(9, 0.05327837276519854)	(10, 0.0947569444140132)	(15, 0.17089713306263637)	(20, 0.20530697847886784)	(25, 0.22208006511641765)	(30, 0.23595937203386583)	(35, 0.2471122157899186)	(40, 0.2585837577530311)	(45, 0.26820206964209153)	(50, 0.27824903061964734)	(55, 0.2827267404288355)	(60, 0.2850978550893594)	(65, 0.2867184354722577)	(70, 0.288103179181932)	(75, 0.2891899400680054)	(80, 0.28971738560068916)	(85, 0.29008866901191366)	(90, 0.2903452210685967)	(95, 0.2905953991611385)	(100, 0.29071491098878594)	(105, 0.2907882115764096)	(110, 0.29090931689509225)	(115, 0.2910065198482455)	(120, 0.2910686659986221)	(125, 0.29112921865796343)	(130, 0.29123757604836376)	(135, 0.2914670387574466)	(140, 0.29159292454923524)																																						
SRR34661417 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0013943046558860092)	(4, 0.0015934910352982962)	(5, 0.0016572306767102282)	(6, 0.00172097031812216)	(7, 0.001768775049181109)	(8, 0.0018086123250635664)	(9, 0.0018086123250635664)	(10, 0.0018468561099107255)	(15, 0.001865978002334305)	(20, 0.0018882868768284812)	(25, 0.0019121892423579554)	(30, 0.001956806991346308)	(35, 0.001980709356875782)	(40, 0.0020173596506876433)	(45, 0.002073131836923083)	(50, 0.0021193430769467342)	(55, 0.0021591803528291918)	(60, 0.0022516028328764927)	(65, 0.002618105770995101)	(70, 0.0037606388433039798)	(75, 0.006150875396251423)	(80, 0.020404652706994687)	(85, 0.03736577128670975)	(90, 0.07690984481867227)	(95, 0.12662357813790853)	(100, 0.5184423083343008)	(105, 1.0741770873676875)	(110, 4.750918627663212)	(115, 16.102732048347473)	(120, 27.701955667645258)	(125, 42.539905198437836)	(130, 56.83123631240998)	(135, 72.4180214593844)	(140, 76.68335397037015)																																						
SRR34661418 - illumina_universal_adapter	(1, 0.00012143111776476537)	(2, 0.00012143111776476537)	(3, 0.000277556840605178)	(4, 0.0008586914756222694)	(5, 0.0010928800598828884)	(6, 0.0013183949928745956)	(7, 0.0015178889720595672)	(8, 0.017937110824109627)	(9, 0.017980479080454186)	(10, 0.0224543484049589)	(15, 0.02315344469723319)	(20, 0.024556841472543122)	(25, 0.313417184411367)	(30, 2.2667702878871596)	(35, 3.45449325493509)	(40, 9.800375916045995)	(45, 19.885039426081843)	(50, 29.689040928358246)	(55, 42.3711281904942)	(60, 60.94398295800998)	(65, 74.41364122482364)	(70, 79.74819349528198)	(75, 84.48119509036644)	(80, 86.71424569158056)	(85, 88.49319768899235)	(90, 89.78038835406191)	(95, 91.89119771848277)	(100, 94.27721336401494)	(105, 95.94054905947262)	(110, 97.14781723228992)	(115, 97.44749882255185)	(120, 97.72806021595656)	(125, 97.8435811077467)	(130, 97.91855267985468)	(135, 97.96736105027509)	(140, 97.99402732373623)																																						
SRR34661418 - polya	(1, 0.003747017348169903)	(2, 0.005395011089263147)	(3, 0.008821103340483314)	(4, 0.010790022178526294)	(5, 0.01340079121046875)	(6, 0.016636063133772857)	(7, 0.028701112048829188)	(8, 0.04322947792425647)	(9, 0.05772314919460811)	(10, 0.1116246876401337)	(15, 0.2241479655517266)	(20, 0.27734520351421654)	(25, 0.3052466049160521)	(30, 0.3287660776968333)	(35, 0.34689400884885907)	(40, 0.3640608994402893)	(45, 0.3784366090533837)	(50, 0.39443255672351085)	(55, 0.40208271714269106)	(60, 0.40581585664883074)	(65, 0.4084630550161027)	(70, 0.4105221798273423)	(75, 0.4118700652345312)	(80, 0.41280335011106606)	(85, 0.4133844847460832)	(90, 0.41382857569105147)	(95, 0.4141807259325693)	(100, 0.41444267020089043)	(105, 0.41471155339022675)	(110, 0.4149440072442336)	(115, 0.41512441919062687)	(120, 0.4152597281504219)	(125, 0.4153638119656488)	(130, 0.4155355502607733)	(135, 0.41591198672584406)	(140, 0.41602300946208615)																																						
SRR34661418 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0016740146948999797)	(4, 0.0018388140690093042)	(5, 0.0018648350228160397)	(6, 0.0019082032791605987)	(7, 0.001942897884236246)	(8, 0.0020036134431186286)	(9, 0.002029634396925364)	(10, 0.0020886152255539642)	(15, 0.002125044560883394)	(20, 0.0021510655146901297)	(25, 0.002175351738243083)	(30, 0.0021892295802733415)	(35, 0.002244740948394377)	(40, 0.0022794355534700244)	(45, 0.002321069079560801)	(50, 0.0023869888292045306)	(55, 0.002484133723416343)	(60, 0.002579543887374373)	(65, 0.003805998176798503)	(70, 0.006071555888238269)	(75, 0.010417055173963087)	(80, 0.030722072794485633)	(85, 0.04456348548941511)	(90, 0.07152119363319302)	(95, 0.13086284615458008)	(100, 1.7749204843019921)	(105, 2.8666521527568767)	(110, 6.536389002851029)	(115, 16.650069345841892)	(120, 26.009903575018843)	(125, 38.133230752950986)	(130, 53.31117678028861)	(135, 72.06835184145953)	(140, 76.79763590961015)																																						
SRR34661419 - illumina_universal_adapter	(1, 2.942195854916792e-05)	(2, 0.00010788051468028236)	(3, 0.00022556834887695404)	(4, 0.000578631851466969)	(5, 0.000578631851466969)	(6, 0.0006276684490489156)	(7, 0.0009807319516389305)	(8, 0.013357569181322235)	(9, 0.01343602773745335)	(10, 0.018259267475613607)	(15, 0.01891831934711497)	(20, 0.020373725563347145)	(25, 0.3000392488927046)	(30, 2.191563233771387)	(35, 3.4245767111860133)	(40, 12.685771717377374)	(45, 27.603991422126057)	(50, 40.83866900551622)	(55, 56.428907819630844)	(60, 75.10638097552622)	(65, 87.29522365886376)	(70, 90.71601866764426)	(75, 93.75917695405448)	(80, 95.10105952395664)	(85, 96.0852848428073)	(90, 96.6104942634046)	(95, 97.12755576294767)	(100, 97.6286705609571)	(105, 97.9573726818684)	(110, 98.18360400554467)	(115, 98.26582072651445)	(120, 98.32660060848534)	(125, 98.35871761843761)	(130, 98.3834281406911)	(135, 98.40215227511177)	(140, 98.41318550956773)																																						
