Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR34661416	(1, 0.0)	(2, 0.05805162987330314)	(3, 0.0002131839515121302)	(4, 0.021752962436987745)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004903230884778994)	(15, 0.0001295502474573714)	(20, 0.0)	(25, 0.00022302321081269)	(30, 0.000626432842135644)	(35, 0.0016316771673428425)	(40, 0.0007838609909446017)	(45, 0.001151193338165503)	(50, 0.001167592103666436)	(55, 0.0007117064227404961)	(60, 0.00018366617361045061)	(65, 0.008386328677177183)	(70, 0.00023450234666334317)	(75, 0.00018366617361045061)	(80, 0.0007461438302924556)	(85, 0.0005739567925326581)	(90, 0.00011807111160671825)	(95, 0.0009002922260012265)	(100, 3.935703720223941e-05)	(105, 0.01123479424468926)	(110, 0.009378453989983633)	(115, 0.0011495534616154095)	(120, 0.00024270172941380974)	(125, 0.019247231068445166)	(130, 0.009553920780843618)	(135, 0.0029648968025687028)	(140, 0.0)	(145, 9.839259300559853e-05)	(150, 0.0)
SRR34661417	(1, 0.0)	(2, 0.05784372458132815)	(3, 0.00015934910352982963)	(4, 0.0211376585832319)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005290390237190344)	(15, 0.00015138164835333816)	(20, 0.0)	(25, 0.00024221063736534103)	(30, 0.0006262419768722305)	(35, 0.0015504667773452421)	(40, 0.0008047129728256396)	(45, 0.0010628585205439637)	(50, 0.001134565617132387)	(55, 0.0007075100196724435)	(60, 0.00018325146905930406)	(65, 0.008193730903503841)	(70, 0.0002183082718358666)	(75, 0.0001736905228475143)	(80, 0.0007521277686607958)	(85, 0.0005943721561662645)	(90, 0.0001258857917885654)	(95, 0.0009210378184024153)	(100, 4.14307669177557e-05)	(105, 0.011122567426382108)	(110, 0.00927889829854198)	(115, 0.0011313786350617904)	(120, 0.0002629260208242189)	(125, 0.018991226158685096)	(130, 0.009798376376049224)	(135, 0.0027455850538189645)	(140, 0.0)	(145, 7.648756969431822e-05)	(150, 0.0)
SRR34661418	(1, 0.0)	(2, 0.05708129900070864)	(3, 0.000277556840605178)	(4, 0.02152800244943912)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005377663786725323)	(15, 0.00012490057827233009)	(20, 0.0)	(25, 0.0001994939791849717)	(30, 0.000617563970346521)	(35, 0.0015890129124646439)	(40, 0.0008153232192777103)	(45, 0.0011258399347047533)	(50, 0.0012524752432308656)	(55, 0.0006817489897364685)	(60, 0.0001752077556320186)	(65, 0.008404768079575548)	(70, 0.00020469816994631875)	(75, 0.00016479937410932444)	(80, 0.0007233825158272451)	(85, 0.000555113681210356)	(90, 0.0001491868018252832)	(95, 0.0008292010613079693)	(100, 4.857244710590615e-05)	(105, 0.011298298142884527)	(110, 0.009567037349609729)	(115, 0.0011605345397804005)	(120, 0.0002671484590824838)	(125, 0.019630207551801216)	(130, 0.009679794816105583)	(135, 0.002916081556608151)	(140, 0.0)	(145, 9.020597319668285e-05)	(150, 0.0)
SRR34661419	(1, 0.0)	(2, 0.05708840690490215)	(3, 0.0001765317512950075)	(4, 0.021674176131220364)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005237108621751889)	(15, 0.00015495564835895102)	(20, 0.0)	(25, 0.00021576102936056476)	(30, 0.0005629401402407462)	(35, 0.0016240921119140689)	(40, 0.000806161664247201)	(45, 0.001102342713642158)	(50, 0.0012219920117421076)	(55, 0.0006551289436948056)	(60, 0.00016476296787534033)	(65, 0.008448025031417748)	(70, 0.0002079151737474533)	(75, 0.0001765317512950075)	(80, 0.0006649362632111949)	(85, 0.0005099806148522438)	(90, 0.00010984197858356022)	(95, 0.0008238148393767018)	(100, 4.119074196883508e-05)	(105, 0.011301955010687035)	(110, 0.009348336963022286)	(115, 0.0010905739302224907)	(120, 0.00026087469913595553)	(125, 0.019536180476647496)	(130, 0.009707284857322135)	(135, 0.002910812432464346)	(140, 0.0)	(145, 8.630441174422589e-05)	(150, 0.0)
SRR34661420	(1, 0.0)	(2, 0.05668641182479362)	(3, 0.00017042443068298726)	(4, 0.02111639850653014)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005421119985535023)	(15, 0.00012822409546624756)	(20, 0.0)	(25, 0.00019964004737149936)	(30, 0.0006119048606427257)	(35, 0.0014867502714820604)	(40, 0.0009219150155041596)	(45, 0.0009738538896170701)	(50, 0.001283864044478504)	(55, 0.0007092902496044327)	(60, 0.00017529370013107261)	(65, 0.008384881989602973)	(70, 0.00019314768810738556)	(75, 0.00016393207141887346)	(80, 0.0007368827764769163)	(85, 0.0005469812680015877)	(90, 0.00013309336491433292)	(95, 0.0008586145126790501)	(100, 3.408488613659746e-05)	(105, 0.011233404616732903)	(110, 0.009459367447813807)	(115, 0.0011475244999321144)	(120, 0.0002564481909324951)	(125, 0.019102144044838832)	(130, 0.009659007495185307)	(135, 0.002682967465895028)	(140, 0.0)	(145, 5.031578429688195e-05)	(150, 0.0)
SRR34661421	(1, 0.0)	(2, 0.05743543536060003)	(3, 0.00021700164487246815)	(4, 0.02066415663430729)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000497003767288556)	(15, 0.0001484011248805266)	(20, 0.0)	(25, 0.0002786021118040075)	(30, 0.000694405263591898)	(35, 0.0016506125116428382)	(40, 0.0007854059533771266)	(45, 0.0011354086063972365)	(50, 0.0011536087443542822)	(55, 0.0007392056031784722)	(60, 0.0002058015599758246)	(65, 0.008381863534525592)	(70, 0.00024220183588991603)	(75, 0.0002100015918120659)	(80, 0.0007952060276616897)	(85, 0.0006384048391086804)	(90, 0.00014420109304428527)	(95, 0.0009170069509126878)	(100, 4.200031836241319e-05)	(105, 0.01140028641417102)	(110, 0.009311470580947003)	(115, 0.001171808882311328)	(120, 0.0002436018465019965)	(125, 0.019408347115271132)	(130, 0.009626472968665102)	(135, 0.0028784218184373838)	(140, 0.0)	(145, 8.260062611274593e-05)	(150, 0.0)
SRR34661422	(1, 0.0)	(2, 0.05841610544727877)	(3, 7.09536079767749e-05)	(4, 0.021073221569102147)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005009324723160307)	(15, 0.0001291355665177303)	(20, 0.0)	(25, 0.00022563247336614419)	(30, 0.0005931721626858381)	(35, 0.0014857685510336663)	(40, 0.0007662989661491689)	(45, 0.0010813329855660495)	(50, 0.0011735726759358569)	(55, 0.0006882499973747165)	(60, 0.0001986701023349697)	(65, 0.00839381182365247)	(70, 0.0001986701023349697)	(75, 0.00015609793754890478)	(80, 0.000732241234320317)	(85, 0.0005520190700593087)	(90, 0.00011920206140098182)	(95, 0.0008613768008380472)	(100, 3.973402046699394e-05)	(105, 0.011267432946711854)	(110, 0.009497849963771088)	(115, 0.0011522865935428245)	(120, 0.00024833762791871215)	(125, 0.020086966418224973)	(130, 0.009239578830735626)	(135, 0.0027203613298295497)	(140, 0.0)	(145, 6.669639149816841e-05)	(150, 0.0)
SRR34661423	(1, 0.0)	(2, 0.05708966272364556)	(3, 0.00018397279371595415)	(4, 0.021563547979233152)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004492809278115933)	(15, 0.00013943201207945998)	(20, 0.0)	(25, 0.00023819635396907747)	(30, 0.0006080784971243115)	(35, 0.001553117690107318)	(40, 0.0007630029549903782)	(45, 0.0010999636508490732)	(50, 0.0011658065454421514)	(55, 0.0007223352848005357)	(60, 0.00017816312654597664)	(65, 0.008400778727787465)	(70, 0.00018009968226930247)	(75, 0.0001704169036526733)	(80, 0.0007165256176305582)	(85, 0.000546108713977885)	(90, 0.00012006645484620166)	(95, 0.0008908156327298831)	(100, 2.7111780126561663e-05)	(105, 0.011102273961827001)	(110, 0.00949493271146656)	(115, 0.0010883443165091182)	(120, 0.00021883079673581913)	(125, 0.019698644817670374)	(130, 0.009130860235481302)	(135, 0.002817688577439087)	(140, 0.0)	(145, 5.228700452979749e-05)	(150, 0.0)
SRR34661424	(1, 0.660379195299398)	(2, 0.0014058692698902468)	(3, 0.0014393423477447765)	(4, 0.0)	(5, 1.6736538927264842e-05)	(6, 0.0001450500040362953)	(7, 8.368269463632421e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0005746211698360929)	(15, 1.0041923356358906e-05)	(20, 9.372461799268312e-05)	(25, 0.00014058692698902468)	(30, 0.00027113193062169047)	(35, 0.0013050650221016502)	(40, 0.0004797739167898668)	(45, 0.0003943869889170097)	(50, 0.003264599313195543)	(55, 7.606468403814172e-05)	(60, 0.0013917586422694805)	(65, 0.0027748671036862127)	(70, 0.0044453794674125255)	(75, 0.0)	(80, 0.009375312226621255)	(85, 0.014233404944454572)	(90, 0.011270986318324835)	(95, 0.021289896410430328)	(100, 0.00972614686675324)	(105, 0.018025956316745743)	(110, 0.002344736182584991)	(115, 0.002760921559991931)	(120, 0.023274875722793992)	(125, 0.0002459874829269312)	(130, 0.0008764283253544648)	(135, 0.003145281256053773)	(140, 0.03561081826983356)	(145, 0.01374401691286216)	(150, 0.037811998742253515)
SRR34661425	(1, 0.660188734031291)	(2, 0.00140851913043904)	(3, 0.0011599569309497975)	(4, 0.0)	(5, 1.5064375726620747e-05)	(6, 0.0002033690723093801)	(7, 9.791844222303486e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0005920299660561954)	(15, 1.5064375726620747e-05)	(20, 8.436050406907619e-05)	(25, 0.0001385922566849109)	(30, 0.00027266520065183554)	(35, 0.0013246885275237045)	(40, 0.0004537512644100901)	(45, 0.0003456524181239911)	(50, 0.003009957478214441)	(55, 7.144094942354656e-05)	(60, 0.001160496085295785)	(65, 0.002135850789463848)	(70, 0.0033247439365338685)	(75, 0.0)	(80, 0.006604956537898377)	(85, 0.009353807274672771)	(90, 0.007841423273300873)	(95, 0.014863900033284975)	(100, 0.007737606990632985)	(105, 0.014718436313326073)	(110, 0.002081224612866841)	(115, 0.002594047806491273)	(120, 0.02137329347609902)	(125, 0.0004026166863680432)	(130, 0.0003485692973191535)	(135, 0.0031112937216837954)	(140, 0.03360868539060656)	(145, 0.011336295103306877)	(150, 0.03345750896361621)
SRR34661426	(1, 0.6207701030156629)	(2, 0.0014051255627388166)	(3, 0.001461011238529565)	(4, 0.0)	(5, 7.983667970106912e-06)	(6, 0.0002953957148939557)	(7, 7.185301173096221e-05)	(8, 0.0)	(9, 0.0)	(10, 0.000617935900886275)	(15, 1.5967335940213823e-05)	(20, 0.00012135175314562506)	(25, 0.00015967335940213822)	(30, 0.00033850752193253304)	(35, 0.001308664647861033)	(40, 0.0005073533705518761)	(45, 0.000406881114220998)	(50, 0.0033254266744118383)	(55, 0.00011537472358688545)	(60, 0.0015995284163687635)	(65, 0.0029198664023612183)	(70, 0.004449794191907835)	(75, 0.0)	(80, 0.00818430453747178)	(85, 0.012252810133839219)	(90, 0.009452389267441815)	(95, 0.01751180153082658)	(100, 0.008587395084903013)	(105, 0.016617398488466984)	(110, 0.002106570933632238)	(115, 0.002788258043987778)	(120, 0.015899789420230816)	(125, 0.0003885303257632516)	(130, 0.0008195075579084529)	(135, 0.0028921958679691425)	(140, 0.022482694810388736)	(145, 0.008266927271707327)	(150, 0.025467306345478988)
SRR34661427	(1, 0.6588079177385808)	(2, 0.0014504525411928523)	(3, 0.0013817107145960347)	(4, 0.0)	(5, 2.7496730638727057e-05)	(6, 0.0003437091329840882)	(7, 0.00010311273989522645)	(8, 0.0)	(9, 0.0)	(10, 0.0006104274201797406)	(15, 8.249019191618116e-06)	(20, 8.661470151199022e-05)	(25, 0.00015948103770461694)	(30, 0.00031896207540923387)	(35, 0.0013922597840093295)	(40, 0.0005001187038118949)	(45, 0.0004017508706243843)	(50, 0.003244034708773777)	(55, 8.149116383902206e-05)	(60, 0.001534483543323826)	(65, 0.0023581417964354634)	(70, 0.003451659297416891)	(75, 0.0)	(80, 0.006576567347685973)	(85, 0.00922728200084629)	(90, 0.007589295889521536)	(95, 0.013755889592173269)	(100, 0.006750757412523197)	(105, 0.011972692734372497)	(110, 0.0016455371856142437)	(115, 0.0016004462958813658)	(120, 0.012639693783843341)	(125, 0.00023504110281285438)	(130, 0.0004131173005263114)	(135, 0.0018392763345874631)	(140, 0.016253502060164245)	(145, 0.006302930547558087)	(150, 0.016931061977982755)
