Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR34661416	(1, 39.39593072833477)	(2, 39.00290077762946)	(3, 39.327433084837374)	(4, 39.4501496387352)	(5, 39.55587608764812)	(6, 39.60229910692323)	(7, 39.57984936094011)	(8, 39.62996538220603)	(9, 39.6332388217815)	(10, 39.66811535547604)	(15, 39.67113764795786)	(20, 39.660758000137754)	(25, 39.6639917547007)	(30, 39.64275090931155)	(35, 39.62916166231006)	(40, 39.62530555819758)	(45, 39.584285882958724)	(50, 39.57254121829709)	(55, 39.575284125011066)	(60, 39.56361117215096)	(65, 39.57308523094382)	(70, 39.55021439746016)	(75, 39.48660676744255)	(80, 39.25398408007845)	(85, 38.13202280412331)	(90, 35.993435524973684)	(95, 32.806984168631786)	(100, 29.170308608367964)	(105, 24.52257896825527)	(110, 21.028742887035463)	(115, 20.3065160002755)	(120, 20.03263072275919)	(125, 20.01016300372908)	(130, 20.622479985306708)	(135, 23.94905802211209)	(140, 26.505417282986933)	(145, 29.44627925129796)	(150, 30.914263769223453)
SRR34661417	(1, 39.33194920046189)	(2, 38.922653937010416)	(3, 39.26559559635565)	(4, 39.41706337289945)	(5, 39.52114024800616)	(6, 39.56405718433799)	(7, 39.53618646840876)	(8, 39.58724566588365)	(9, 39.59006176291578)	(10, 39.628527250170684)	(15, 39.62116811019691)	(20, 39.61613653477367)	(25, 39.61725647214311)	(30, 39.5895620281922)	(35, 39.53155321793962)	(40, 39.52826332821796)	(45, 39.45495780077203)	(50, 39.45107925952702)	(55, 39.41196818531408)	(60, 39.46345262180665)	(65, 39.47206577548556)	(70, 39.477026344948264)	(75, 39.432200756924175)	(80, 39.16751155420431)	(85, 37.88497450294831)	(90, 35.34718679913783)	(95, 32.16311243537298)	(100, 29.003748464571792)	(105, 25.426945120726465)	(110, 22.340071463292457)	(115, 21.247960542612383)	(120, 20.922065508575812)	(125, 21.168968148424764)	(130, 22.52487790870874)	(135, 25.768760659957064)	(140, 28.607500339214408)	(145, 31.1634192142671)	(150, 32.267970057347355)
SRR34661418	(1, 39.328294144331295)	(2, 38.843006478350134)	(3, 39.21735502208745)	(4, 39.391860992595305)	(5, 39.524716176446354)	(6, 39.56664373931515)	(7, 39.53883566640096)	(8, 39.59008246040261)	(9, 39.5915383327681)	(10, 39.638100418330204)	(15, 39.63736133650558)	(20, 39.61192203775293)	(25, 39.62060849133112)	(30, 39.595021272129735)	(35, 39.581185306487804)	(40, 39.58491173258786)	(45, 39.54270675165689)	(50, 39.528893736496215)	(55, 39.52884875494073)	(60, 39.51428890371119)	(65, 39.51482127507878)	(70, 39.4254595083601)	(75, 39.06414343790577)	(80, 38.681968086167515)	(85, 37.48528051889251)	(90, 35.24460735681754)	(95, 32.89434706921661)	(100, 30.39016957855596)	(105, 26.664329192821338)	(110, 23.387633784565583)	(115, 22.35922587662425)	(120, 21.880126479182803)	(125, 21.976047816104717)	(130, 23.34144385068483)	(135, 26.583186595392384)	(140, 29.336790367389845)	(145, 31.725450817361526)	(150, 32.71022046686795)
SRR34661419	(1, 39.288345393394145)	(2, 38.731805509869794)	(3, 39.14752317126346)	(4, 39.415531518469244)	(5, 39.538292188685766)	(6, 39.577941023880236)	(7, 39.552821928695685)	(8, 39.620540293078015)	(9, 39.6221445744045)	(10, 39.669391179257595)	(15, 39.6626989586392)	(20, 39.599314076073014)	(25, 39.61316677758745)	(30, 39.584920775492215)	(35, 39.56870003783664)	(40, 39.58800535401188)	(45, 39.547167302867486)	(50, 39.52465495398111)	(55, 39.54261635354838)	(60, 39.53988026832042)	(65, 39.53628941635269)	(70, 39.46878204664243)	(75, 39.15724324486543)	(80, 38.6663468303626)	(85, 36.940396506005115)	(90, 33.63738206943464)	(95, 29.87552950208435)	(100, 26.694410220168436)	(105, 22.705589858290118)	(110, 19.17904832909755)	(115, 19.01765292013919)	(120, 19.441488609877183)	(125, 19.998388323954593)	(130, 21.455260381390964)	(135, 25.70845567474064)	(140, 29.21415149131081)	(145, 32.46233822581275)	(150, 33.95645530520084)
SRR34661420	(1, 39.35197708976263)	(2, 38.7895594260657)	(3, 39.19549775985201)	(4, 39.44128257531116)	(5, 39.54216190856535)	(6, 39.58493413947876)	(7, 39.57495546444431)	(8, 39.616553876802776)	(9, 39.63672482549147)	(10, 39.67185613386336)	(15, 39.67198130654997)	(20, 39.67279236453104)	(25, 39.66027757919725)	(30, 39.64649999752479)	(35, 39.634040786786294)	(40, 39.62883738806869)	(45, 39.593113797992025)	(50, 39.585461237896524)	(55, 39.58811562275075)	(60, 39.56575413581545)	(65, 39.5617508984005)	(70, 39.53629464988207)	(75, 39.42116721744866)	(80, 39.028354843466374)	(85, 37.81874485328363)	(90, 35.22936237646968)	(95, 31.932684313818896)	(100, 28.59428574999369)	(105, 25.159354844521385)	(110, 22.618656118963393)	(115, 21.63127432758026)	(120, 21.31820073676916)	(125, 21.937633747672997)	(130, 23.980791397494123)	(135, 27.31234146368779)	(140, 30.15857942959268)	(145, 32.498358885771566)	(150, 33.40296962135831)
SRR34661421	(1, 39.401178500933035)	(2, 38.842479275992915)	(3, 39.237211288061566)	(4, 39.465459498182994)	(5, 39.577437316974866)	(6, 39.62693595217452)	(7, 39.60838091152731)	(8, 39.65099275452508)	(9, 39.645152540256255)	(10, 39.68348323480292)	(15, 39.68231332993504)	(20, 39.65677138232708)	(25, 39.64358322636086)	(30, 39.633100716903435)	(35, 39.630137020438625)	(40, 39.635060913761734)	(45, 39.600372738825364)	(50, 39.59176919761052)	(55, 39.60051707991947)	(60, 39.59321101253948)	(65, 39.59667836282199)	(70, 39.59426219650745)	(75, 39.52460324049257)	(80, 39.295828920383215)	(85, 38.413895035324366)	(90, 36.613302410832276)	(95, 34.062283378108006)	(100, 31.077067364170624)	(105, 27.165345089315775)	(110, 24.036134987903207)	(115, 22.58819737853613)	(120, 21.77043726391446)	(125, 22.138944431198787)	(130, 23.879677795957694)	(135, 27.460489950513825)	(140, 30.522805360864634)	(145, 32.94475369123298)	(150, 33.89123205553898)
SRR34661422	(1, 39.419764170074096)	(2, 38.96175274143455)	(3, 39.338862440537326)	(4, 39.51497114032949)	(5, 39.61310118637271)	(6, 39.65238635431564)	(7, 39.635697214276206)	(8, 39.67365285351287)	(9, 39.68902956466556)	(10, 39.718571156109576)	(15, 39.715374241967126)	(20, 39.71184668401151)	(25, 39.706782696628764)	(30, 39.69139664798127)	(35, 39.682373193840434)	(40, 39.67485045108047)	(45, 39.64733027116482)	(50, 39.63887941264035)	(55, 39.64263693123943)	(60, 39.64345120903529)	(65, 39.627493756792035)	(70, 39.61218256420095)	(75, 39.33399718001981)	(80, 38.8540209125826)	(85, 37.97431550344849)	(90, 35.3161010623458)	(95, 32.20885804708992)	(100, 29.15593268659593)	(105, 25.533377002913923)	(110, 21.757564122904135)	(115, 21.048798684463343)	(120, 20.524306009855742)	(125, 20.591350088223713)	(130, 21.416368968978798)	(135, 24.50386602085639)	(140, 27.386268334057537)	(145, 30.423880586213034)	(150, 31.832904927273972)
SRR34661423	(1, 39.40009570458385)	(2, 38.978369156709384)	(3, 39.32339483253344)	(4, 39.462220799499285)	(5, 39.54183260528521)	(6, 39.589593104467305)	(7, 39.586083581357705)	(8, 39.61417022363539)	(9, 39.62045415330201)	(10, 39.65597964834859)	(15, 39.654896784484784)	(20, 39.66817197079597)	(25, 39.643278747637154)	(30, 39.62843684901469)	(35, 39.619371676749346)	(40, 39.60771171347031)	(45, 39.57348752577313)	(50, 39.56653747903436)	(55, 39.55807910713936)	(60, 39.54242664375333)	(65, 39.53165160897764)	(70, 39.45628403617719)	(75, 39.305428359348056)	(80, 38.74867689671593)	(85, 37.872427435804624)	(90, 36.108556245421255)	(95, 33.07310985867597)	(100, 29.938987049670914)	(105, 26.781350348686537)	(110, 24.053965223719633)	(115, 22.879269035422897)	(120, 22.445842941070417)	(125, 22.42730630714897)	(130, 22.667001826365702)	(135, 24.982056533096607)	(140, 27.15196929319783)	(145, 29.30466992666457)	(150, 30.185452128633003)
SRR34661424	(1, 31.403205203412266)	(2, 31.691347873257314)	(3, 35.74076869695947)	(4, 36.21025600600463)	(5, 36.47246367933952)	(6, 40.07178123022822)	(7, 40.232785228420006)	(8, 40.18708549520601)	(9, 40.28522013541757)	(10, 40.280622764381945)	(15, 40.305423481018224)	(20, 40.26089873094078)	(25, 40.161186404150705)	(30, 40.14822260467073)	(35, 40.10494320243239)	(40, 40.075963822677565)	(45, 40.0488767475095)	(50, 39.970969596203744)	(55, 39.80084891215214)	(60, 39.636594362012644)	(65, 39.453519766564355)	(70, 39.37092559148571)	(75, 39.00953134323007)	(80, 39.367636460954984)	(85, 39.19811352533544)	(90, 39.07556234409365)	(95, 38.79650161661101)	(100, 38.31444532329563)	(105, 37.453080773182506)	(110, 36.31190310758822)	(115, 35.4953754784066)	(120, 34.577701983929266)	(125, 34.36758828911693)	(130, 33.80239191787087)	(135, 32.95811591755648)	(140, 31.75373507547507)	(145, 29.952169981450062)	(150, 26.65973337396881)
SRR34661425	(1, 31.392411320727714)	(2, 31.629266541908528)	(3, 35.68376312624964)	(4, 36.134654805479364)	(5, 36.42056882329525)	(6, 39.99520387937804)	(7, 40.162435472688095)	(8, 40.19206258042964)	(9, 40.23637361308884)	(10, 40.25023556540933)	(15, 40.26432758087593)	(20, 40.19542936295391)	(25, 40.092287137546414)	(30, 40.05525212304129)	(35, 39.99422090271773)	(40, 39.954371160364325)	(45, 39.93324900959608)	(50, 39.8408528415003)	(55, 39.66914913975747)	(60, 39.50585619658061)	(65, 39.28143502281431)	(70, 39.200468652671795)	(75, 38.83697321940832)	(80, 39.21400426513956)	(85, 39.06050839549857)	(90, 38.94071938763417)	(95, 38.66607258289241)	(100, 38.00250697058447)	(105, 36.698577782504536)	(110, 35.04803814237378)	(115, 34.00084780122969)	(120, 32.930283403176475)	(125, 32.818924788615554)	(130, 32.18737080801425)	(135, 31.30318451725979)	(140, 30.094951189887677)	(145, 28.27815080451213)	(150, 25.31973622921673)
