Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR34661416	(13.0, 6.0)	(14.0, 129.0)	(15.0, 602.0)	(16.0, 1646.0)	(17.0, 2615.0)	(18.0, 3824.0)	(19.0, 5404.0)	(20.0, 7932.0)	(21.0, 11319.0)	(22.0, 14972.0)	(23.0, 18666.0)	(24.0, 23880.0)	(25.0, 30967.0)	(26.0, 40573.0)	(27.0, 58873.0)	(28.0, 87574.0)	(29.0, 131664.0)	(30.0, 220233.0)	(31.0, 451881.0)	(32.0, 1682947.0)	(33.0, 4865814.0)	(34.0, 2658923.0)	(35.0, 814656.0)	(36.0, 260369.0)	(37.0, 188503.0)	(38.0, 251432.0)	(39.0, 243783.0)	(40.0, 116853.0)								
SRR34661417	(13.0, 27.0)	(14.0, 244.0)	(15.0, 1306.0)	(16.0, 3012.0)	(17.0, 4220.0)	(18.0, 5386.0)	(19.0, 7333.0)	(20.0, 10439.0)	(21.0, 14431.0)	(22.0, 18558.0)	(23.0, 22958.0)	(24.0, 28412.0)	(25.0, 36242.0)	(26.0, 45875.0)	(27.0, 65465.0)	(28.0, 93748.0)	(29.0, 134030.0)	(30.0, 212307.0)	(31.0, 406532.0)	(32.0, 1208233.0)	(33.0, 3883697.0)	(34.0, 3644958.0)	(35.0, 1197369.0)	(36.0, 276915.0)	(37.0, 207072.0)	(38.0, 389153.0)	(39.0, 475846.0)	(40.0, 157291.0)								
SRR34661418	(12.0, 1.0)	(13.0, 17.0)	(14.0, 230.0)	(15.0, 889.0)	(16.0, 2244.0)	(17.0, 3569.0)	(18.0, 4932.0)	(19.0, 7510.0)	(20.0, 10350.0)	(21.0, 14062.0)	(22.0, 18263.0)	(23.0, 22486.0)	(24.0, 27741.0)	(25.0, 34612.0)	(26.0, 44097.0)	(27.0, 61152.0)	(28.0, 85444.0)	(29.0, 120166.0)	(30.0, 185816.0)	(31.0, 326146.0)	(32.0, 806561.0)	(33.0, 2427357.0)	(34.0, 3470445.0)	(35.0, 2179392.0)	(36.0, 485239.0)	(37.0, 222194.0)	(38.0, 365148.0)	(39.0, 424759.0)	(40.0, 178348.0)							
SRR34661419	(13.0, 22.0)	(14.0, 188.0)	(15.0, 786.0)	(16.0, 1947.0)	(17.0, 3004.0)	(18.0, 4423.0)	(19.0, 6527.0)	(20.0, 9437.0)	(21.0, 12313.0)	(22.0, 15640.0)	(23.0, 18873.0)	(24.0, 24314.0)	(25.0, 31153.0)	(26.0, 41203.0)	(27.0, 58796.0)	(28.0, 85851.0)	(29.0, 123531.0)	(30.0, 197989.0)	(31.0, 411972.0)	(32.0, 1348200.0)	(33.0, 3832810.0)	(34.0, 2769246.0)	(35.0, 794379.0)	(36.0, 134225.0)	(37.0, 74902.0)	(38.0, 75302.0)	(39.0, 79021.0)	(40.0, 40412.0)								
SRR34661420	(12.0, 2.0)	(13.0, 15.0)	(14.0, 180.0)	(15.0, 773.0)	(16.0, 1857.0)	(17.0, 2978.0)	(18.0, 4347.0)	(19.0, 6509.0)	(20.0, 9151.0)	(21.0, 12849.0)	(22.0, 16611.0)	(23.0, 20506.0)	(24.0, 25765.0)	(25.0, 32579.0)	(26.0, 42500.0)	(27.0, 60276.0)	(28.0, 86548.0)	(29.0, 123022.0)	(30.0, 190581.0)	(31.0, 339987.0)	(32.0, 860335.0)	(33.0, 2738152.0)	(34.0, 3984758.0)	(35.0, 2204626.0)	(36.0, 392755.0)	(37.0, 209212.0)	(38.0, 371982.0)	(39.0, 442448.0)	(40.0, 140873.0)							
SRR34661421	(13.0, 15.0)	(14.0, 158.0)	(15.0, 771.0)	(16.0, 1897.0)	(17.0, 3074.0)	(18.0, 4217.0)	(19.0, 6391.0)	(20.0, 9431.0)	(21.0, 12768.0)	(22.0, 16168.0)	(23.0, 19929.0)	(24.0, 25584.0)	(25.0, 32881.0)	(26.0, 42544.0)	(27.0, 60082.0)	(28.0, 87407.0)	(29.0, 125071.0)	(30.0, 193888.0)	(31.0, 319319.0)	(32.0, 700074.0)	(33.0, 2057479.0)	(34.0, 3680955.0)	(35.0, 3983442.0)	(36.0, 1454621.0)	(37.0, 371136.0)	(38.0, 406981.0)	(39.0, 499347.0)	(40.0, 169976.0)								
SRR34661422	(13.0, 9.0)	(14.0, 93.0)	(15.0, 464.0)	(16.0, 1264.0)	(17.0, 1993.0)	(18.0, 2951.0)	(19.0, 4645.0)	(20.0, 7066.0)	(21.0, 10224.0)	(22.0, 13694.0)	(23.0, 17523.0)	(24.0, 23290.0)	(25.0, 31219.0)	(26.0, 43181.0)	(27.0, 65353.0)	(28.0, 98312.0)	(29.0, 148124.0)	(30.0, 246230.0)	(31.0, 498886.0)	(32.0, 1619843.0)	(33.0, 4798584.0)	(34.0, 3723958.0)	(35.0, 1376669.0)	(36.0, 365297.0)	(37.0, 244987.0)	(38.0, 316710.0)	(39.0, 343367.0)	(40.0, 89780.0)								
SRR34661423	(13.0, 6.0)	(14.0, 143.0)	(15.0, 702.0)	(16.0, 1674.0)	(17.0, 2632.0)	(18.0, 3897.0)	(19.0, 5445.0)	(20.0, 7882.0)	(21.0, 11098.0)	(22.0, 14537.0)	(23.0, 18530.0)	(24.0, 23273.0)	(25.0, 29167.0)	(26.0, 38161.0)	(27.0, 53874.0)	(28.0, 75668.0)	(29.0, 109118.0)	(30.0, 174957.0)	(31.0, 349545.0)	(32.0, 1073712.0)	(33.0, 2925064.0)	(34.0, 2574606.0)	(35.0, 1219005.0)	(36.0, 290686.0)	(37.0, 208551.0)	(38.0, 434240.0)	(39.0, 501360.0)	(40.0, 180081.0)								
SRR34661424	(14.0, 18.0)	(15.0, 124.0)	(16.0, 568.0)	(17.0, 1424.0)	(18.0, 2802.0)	(19.0, 4474.0)	(20.0, 6541.0)	(21.0, 8187.0)	(22.0, 9629.0)	(23.0, 11065.0)	(24.0, 12918.0)	(25.0, 16007.0)	(26.0, 21219.0)	(27.0, 29024.0)	(28.0, 40340.0)	(29.0, 55431.0)	(30.0, 73586.0)	(31.0, 96181.0)	(32.0, 124502.0)	(33.0, 158881.0)	(34.0, 200613.0)	(35.0, 256628.0)	(36.0, 339191.0)	(37.0, 476595.0)	(38.0, 769677.0)	(39.0, 1991877.0)	(40.0, 13217351.0)									
SRR34661425	(14.0, 8.0)	(15.0, 115.0)	(16.0, 499.0)	(17.0, 1224.0)	(18.0, 2634.0)	(19.0, 4252.0)	(20.0, 6203.0)	(21.0, 8304.0)	(22.0, 10166.0)	(23.0, 12086.0)	(24.0, 14004.0)	(25.0, 16470.0)	(26.0, 20566.0)	(27.0, 26903.0)	(28.0, 36320.0)	(29.0, 48351.0)	(30.0, 64037.0)	(31.0, 82632.0)	(32.0, 105112.0)	(33.0, 132501.0)	(34.0, 165775.0)	(35.0, 208685.0)	(36.0, 272214.0)	(37.0, 373901.0)	(38.0, 591009.0)	(39.0, 1446103.0)	(40.0, 9626281.0)									
