Sample	Unique Reads	Duplicate Reads
SRR34661416	4712363.0	7483677.0
SRR34661417	4214107.0	8336952.0
SRR34661418	2192212.0	9336958.0
SRR34661419	3374410.0	6822056.0
SRR34661420	4356846.0	7965331.0
SRR34661421	5137941.0	9147665.0
SRR34661422	5386145.0	8707571.0
SRR34661423	4412999.0	5914615.0
SRR34661424	5666508.0	12258345.0
SRR34661425	2074079.0	11202276.0
SRR34661426	4545909.0	7979662.0
SRR34661427	3286539.0	11260645.0
SRR34661428	11412912.0	9852083.0
SRR34661429	1649065.0	13136460.0
SRR34661430	5874902.0	12670094.0
SRR34661431	10510110.0	6218200.0
SRR34661432	11670201.0	17512887.0
SRR34661433	12120036.0	23265810.0
SRR34661434	11199636.0	17789014.0
SRR34661435	15886000.0	30259566.0
SRR34661436	12277578.0	15802024.0
SRR34661437	12338782.0	18557449.0
SRR34661438	13137637.0	23355146.0
SRR34661439	11311769.0	17272855.0
SRR34661440	12134914.0	17736739.0
SRR34661441	4420914.0	8125477.0
SRR34661442	12770382.0	20948666.0
SRR34661443	10465649.0	17036901.0
