Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR34661416	(1.0, 22.26011517106824)	(2.0, 18.440358875594054)	(3.0, 11.9761610109605)	(4.0, 6.456700526385925)	(5.0, 3.2157596120006438)	(6.0, 1.6869317786537337)	(7.0, 0.9476262298856724)	(8.0, 0.6822599358053103)	(9.0, 0.5341736886965799)	('>10', 5.487853456897342)	('>50', 1.8105517409119785)	('>100', 3.704078195233392)	('>500', 1.7513957935911377)	('>1k', 5.22078084341874)	('>5k', 3.6981774462352983)	('>10k+', 12.127075694661354)
SRR34661417	(1.0, 17.124153931923317)	(2.0, 16.192780178077033)	(3.0, 12.77463404257093)	(4.0, 8.353078826584099)	(5.0, 4.577241742622909)	(6.0, 2.504868506403964)	(7.0, 1.3449392975665961)	(8.0, 0.8037358510123574)	(9.0, 0.5129489396440907)	('>10', 5.173447888935612)	('>50', 1.902821709561799)	('>100', 3.4949731567984164)	('>500', 1.6910036060246842)	('>1k', 5.336693113929291)	('>5k', 5.016780661261806)	('>10k+', 13.195898547083148)
SRR34661418	(1.0, 7.051970058225033)	(2.0, 4.880244446448613)	(3.0, 6.330533699884254)	(4.0, 7.542080258376697)	(5.0, 7.890849936215874)	(6.0, 7.221183057458494)	(7.0, 5.983927539772246)	(8.0, 4.751881892365378)	(9.0, 3.6197598257199703)	('>10', 11.961654873243388)	('>50', 2.003353937007845)	('>100', 3.9960706387274434)	('>500', 1.8211746075331725)	('>1k', 6.220420315254227)	('>5k', 4.657910833128103)	('>10k+', 14.06698408063927)
SRR34661419	(1.0, 14.742335411793198)	(2.0, 15.093733253365624)	(3.0, 14.13672463880995)	(4.0, 11.200862251250522)	(5.0, 7.526931797341094)	(6.0, 4.611008394799424)	(7.0, 2.718976514678377)	(8.0, 1.5488456492056188)	(9.0, 0.935248098832011)	('>10', 4.9752785200257525)	('>50', 1.6771684286778479)	('>100', 3.244227782791257)	('>500', 1.5816117194746002)	('>1k', 4.129433568908975)	('>5k', 2.730432895914304)	('>10k+', 9.147181074131549)
SRR34661420	(1.0, 17.52004241014622)	(2.0, 17.447152274691266)	(3.0, 13.972255824311603)	(4.0, 9.185549119626094)	(5.0, 5.07339324342949)	(6.0, 2.7321928675777354)	(7.0, 1.4416485663819045)	(8.0, 0.8630368768913216)	(9.0, 0.5390306183810304)	('>10', 5.014596054649411)	('>50', 1.6076910893851653)	('>100', 3.3423272176903067)	('>500', 1.3313118762050593)	('>1k', 5.611485737645779)	('>5k', 3.526566583590608)	('>10k+', 10.791719639396948)
SRR34661421	(1.0, 20.381074102455145)	(2.0, 17.358431309850072)	(3.0, 11.57616373952293)	(4.0, 6.186913663095375)	(5.0, 3.146649570212113)	(6.0, 1.5615654580155633)	(7.0, 0.8690783888988661)	(8.0, 0.6180888615624626)	(9.0, 0.4381032259174164)	('>10', 5.747600617528029)	('>50', 2.16911933744805)	('>100', 4.042238450540301)	('>500', 1.6228488536920347)	('>1k', 5.382388869886504)	('>5k', 4.269391528258618)	('>10k+', 14.630344023116612)
SRR34661422	(1.0, 21.165959830204383)	(2.0, 18.52070946674856)	(3.0, 12.898973806595574)	(4.0, 7.1530913366599504)	(5.0, 3.6025001411699558)	(6.0, 1.8565436240944901)	(7.0, 0.9879809919779468)	(8.0, 0.7169715128084048)	(9.0, 0.4910280370991899)	('>10', 6.134567888498704)	('>50', 2.2394496202289926)	('>100', 4.028367305037597)	('>500', 1.6347196290999848)	('>1k', 5.153345451885283)	('>5k', 2.987430277289047)	('>10k+', 10.428361080601944)
SRR34661423	(1.0, 28.243919422948665)	(2.0, 18.645542734283996)	(3.0, 9.28070445526803)	(4.0, 4.226398078383944)	(5.0, 1.875266152438246)	(6.0, 0.9633989215294058)	(7.0, 0.6058344737098159)	(8.0, 0.43036333253037007)	(9.0, 0.37723932242813624)	('>10', 4.738105126888807)	('>50', 1.6627905389950761)	('>100', 3.011987286414306)	('>500', 1.5558504600110632)	('>1k', 5.898442805179005)	('>5k', 4.400210015052461)	('>10k+', 14.083946873938643)
SRR34661424	(1.0, 28.264630389128403)	(2.0, 5.000481022149781)	(3.0, 1.369869097385293)	(4.0, 0.5640528163877633)	(5.0, 0.359589700341843)	(6.0, 0.2269177892740011)	(7.0, 0.1806484971335955)	(8.0, 0.11707815385993171)	(9.0, 0.12369511241895444)	('>10', 1.2733826323033866)	('>50', 0.4927166916941213)	('>100', 1.3314813326630366)	('>500', 0.5601369253141217)	('>1k', 5.059316071502625)	('>5k', 6.292505943246544)	('>10k+', 48.783497825196626)
SRR34661425	(1.0, 13.642376469922338)	(2.0, 2.624772449858232)	(3.0, 0.8529114819562889)	(4.0, 0.4090135427910092)	(5.0, 0.2498110936849632)	(6.0, 0.20044257634214538)	(7.0, 0.16488401686611961)	(8.0, 0.13262852092344313)	(9.0, 0.1206804046689332)	('>10', 2.137456066073023)	('>50', 1.0836250749071752)	('>100', 3.247952422428236)	('>500', 1.7827971284589832)	('>1k', 9.367063068743024)	('>5k', 12.135775334529566)	('>10k+', 51.847810347846526)
SRR34661426	(1.0, 32.04154413854462)	(2.0, 6.278230037867407)	(3.0, 1.8789803352832681)	(4.0, 0.7484622514448815)	(5.0, 0.39250581364302217)	(6.0, 0.2618492697257247)	(7.0, 0.19811674763435907)	(8.0, 0.15621673466774041)	(9.0, 0.1421186837440127)	('>10', 1.658546189078161)	('>50', 0.6974422297071649)	('>100', 1.928115490662048)	('>500', 0.9170208444580734)	('>1k', 7.5440076590349365)	('>5k', 9.620693953113381)	('>10k+', 35.5361496213912)
SRR34661427	(1.0, 18.64478492069271)	(2.0, 5.4374575572031025)	(3.0, 2.0327765074695496)	(4.0, 0.8638743717276693)	(5.0, 0.45531698502670176)	(6.0, 0.2843865191792419)	(7.0, 0.20146695117662297)	(8.0, 0.1557899533467182)	(9.0, 0.1347906066135625)	('>10', 1.9205912675421137)	('>50', 1.0266891367128235)	('>100', 3.142018064206002)	('>500', 1.5221711926444872)	('>1k', 5.71907690150957)	('>5k', 7.2524373239233775)	('>10k+', 51.20637174102575)
