Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR34661416	(151, 12196040.0)																							
SRR34661417	(151, 12551059.0)																							
SRR34661418	(151, 11529170.0)																							
SRR34661419	(151, 10196466.0)																							
SRR34661420	(151, 12322177.0)																							
SRR34661421	(151, 14285606.0)																							
SRR34661422	(151, 14093716.0)																							
SRR34661423	(151, 10327614.0)																							
SRR34661424	(35, 72994.0)	(40, 1147349.0)	(45, 2015408.0)	(50, 3313430.0)	(55, 2010826.0)	(60, 3108381.0)	(65, 1310197.0)	(70, 852674.0)	(75, 536475.0)	(80, 466735.0)	(85, 268490.0)	(90, 431121.0)	(95, 949497.0)	(100, 527775.0)	(105, 342650.0)	(110, 92086.0)	(115, 92713.0)	(120, 53376.0)	(125, 22999.0)	(130, 25919.0)	(135, 10083.0)	(140, 9676.0)	(145, 12073.0)	(150, 251926.0)
SRR34661425	(35, 34876.0)	(40, 564306.0)	(45, 1048332.0)	(50, 2627297.0)	(55, 1447382.0)	(60, 2268175.0)	(65, 843733.0)	(70, 629907.0)	(75, 343006.0)	(80, 293026.0)	(85, 240313.0)	(90, 474530.0)	(95, 1030766.0)	(100, 673713.0)	(105, 315945.0)	(110, 87570.0)	(115, 62981.0)	(120, 37224.0)	(125, 15410.0)	(130, 16689.0)	(135, 6673.0)	(140, 6522.0)	(145, 7315.0)	(150, 200664.0)
SRR34661426	(35, 60758.0)	(40, 959553.0)	(45, 1712314.0)	(50, 3206354.0)	(55, 1197142.0)	(60, 1614669.0)	(65, 695151.0)	(70, 388962.0)	(75, 220046.0)	(80, 192765.0)	(85, 153615.0)	(90, 310013.0)	(95, 696100.0)	(100, 466388.0)	(105, 209467.0)	(110, 61962.0)	(115, 40582.0)	(120, 27007.0)	(125, 12739.0)	(130, 14167.0)	(135, 5882.0)	(140, 6199.0)	(145, 6232.0)	(150, 267504.0)
SRR34661427	(35, 65952.0)	(40, 1027418.0)	(45, 1396318.0)	(50, 3352451.0)	(55, 1384532.0)	(60, 1729811.0)	(65, 705816.0)	(70, 593420.0)	(75, 333429.0)	(80, 295282.0)	(85, 242228.0)	(90, 481640.0)	(95, 1131368.0)	(100, 721796.0)	(105, 353413.0)	(110, 94648.0)	(115, 74309.0)	(120, 46528.0)	(125, 20802.0)	(130, 24243.0)	(135, 10983.0)	(140, 11320.0)	(145, 11607.0)	(150, 437870.0)
