Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR34661416	SRR34661416.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12196040.0	1.8 Gbp	0.0	151.0	53.0	38.63846146909495	151.0	151	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail	fail
SRR34661417	SRR34661417.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12551059.0	1.8 Gbp	0.0	151.0	52.0	33.57570503559487	151.0	151	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	fail
SRR34661418	SRR34661418.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11529170.0	1.7 Gbp	0.0	151.0	53.0	19.01448211731229	151.0	151	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	fail
SRR34661419	SRR34661419.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10196466.0	1.5 Gbp	0.0	151.0	54.0	33.0939091094771	151.0	151	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	fail
SRR34661420	SRR34661420.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12322177.0	1.8 Gbp	0.0	151.0	52.0	35.35775476186247	151.0	151	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	fail
SRR34661421	SRR34661421.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14285606.0	2.1 Gbp	0.0	151.0	53.0	35.96585494838159	151.0	151	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	fail
SRR34661422	SRR34661422.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14093716.0	2.1 Gbp	0.0	151.0	53.0	38.21663774536179	151.0	151	pass	warn	pass	pass	fail	pass	pass	pass	fail	fail	fail
SRR34661423	SRR34661423.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10327614.0	1.5 Gbp	0.0	151.0	53.0	42.73008346005088	151.0	151	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	fail
SRR34661424	SRR34661424.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17924853.0	1.1 Gbp	0.0	35-151	48.0	31.612576172013966	65.61899531337858	62	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
SRR34661425	SRR34661425.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13276355.0	912.7 Mbp	0.0	35-151	46.0	15.622346800623156	68.73120943210694	62	pass	warn	pass	pass	fail	pass	pass	warn	fail	fail	pass
SRR34661426	SRR34661426.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12525571.0	806 Mbp	0.0	35-151	48.0	36.29302791021451	64.37179574488061	57	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
SRR34661427	SRR34661427.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14547184.0	1 Gbp	0.0	35-151	47.0	22.59226264302442	68.73711317599337	62	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
SRR34661428	SRR34661428.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21264995.0	1.4 Gbp	0.0	35-151	48.0	53.6699490447937	66.1387941544308	62	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass
SRR34661429	SRR34661429.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14785525.0	1 Gbp	0.0	35-151	47.0	11.153238360668867	69.34770263484049	62	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
SRR34661430	SRR34661430.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18544996.0	1.1 Gbp	0.0	35-151	48.0	31.679171931997473	64.60076216786459	57	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
