Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR34661416	61.36153853090505	53.0	151.0	151	36.36363636363637	12.19604
SRR34661417	66.42429496440514	52.0	151.0	151	36.36363636363637	12.551058999999999
SRR34661418	80.9855178826877	53.0	151.0	151	36.36363636363637	11.529169999999999
SRR34661419	66.9060908905229	54.0	151.0	151	36.36363636363637	10.196466
SRR34661420	64.64224523813752	52.0	151.0	151	36.36363636363637	12.322177
SRR34661421	64.03414505161841	53.0	151.0	151	27.27272727272727	14.285606
SRR34661422	61.78336225463821	53.0	151.0	151	36.36363636363637	14.093715999999999
SRR34661423	57.26991653994912	53.0	151.0	151	36.36363636363637	10.327613999999999
SRR34661424	68.38742382798603	48.0	65.61899531337858	62	27.27272727272727	17.924853
SRR34661425	84.37765319937685	46.0	68.73120943210694	62	27.27272727272727	13.276354999999999
SRR34661426	63.70697208978549	48.0	64.37179574488061	57	27.27272727272727	12.525571
SRR34661427	77.40773735697559	47.0	68.73711317599337	62	27.27272727272727	14.547184
SRR34661428	46.3300509552063	48.0	66.1387941544308	62	9.090909090909092	21.264995
SRR34661429	88.84676163933113	47.0	69.34770263484049	62	27.27272727272727	14.785525
SRR34661430	68.32082806800253	48.0	64.60076216786459	57	27.27272727272727	18.544995999999998
SRR34661431	37.17171892216026	48.0	66.85667978415034	57	18.181818181818183	16.72831
SRR34661432	60.010397565695094	46.0	69.30145893059706	62	27.27272727272727	29.183087999999998
SRR34661433	65.74891834969613	47.0	76.21788634077026	67	36.36363636363637	35.385846
SRR34661434	61.36544586153616	45.0	70.3524286401747	62	36.36363636363637	28.98865
SRR34661435	65.5741579136636	47.0	70.7731718037655	67	27.27272727272727	46.145565999999995
SRR34661436	56.275812444531766	46.0	66.15197731435082	62	27.27272727272727	28.079601999999998
SRR34661437	60.06379634371083	47.0	70.11013930793047	62	27.27272727272727	30.896231
SRR34661438	63.99935687470435	46.0	71.76645613736831	62	36.36363636363637	36.492782999999996
SRR34661439	60.427086313262116	46.0	70.19837575963916	62	36.36363636363637	28.584623999999998
SRR34661440	59.376491820323146	46.0	67.51208013162177	62	27.27272727272727	29.871653
SRR34661441	64.76346702447466	47.0	80.90267886597827	72	36.36363636363637	12.546391
SRR34661442	62.1270996107028	46.0	69.93086773980096	62	27.27272727272727	33.719048
SRR34661443	61.94662355728342	49.0	64.69058936353174	62	27.27272727272727	27.50255
