Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR34661416	61.36153853090505	53.0	151.0	151	36.36363636363637	12196040.0
SRR34661417	66.42429496440514	52.0	151.0	151	36.36363636363637	12551059.0
SRR34661418	80.9855178826877	53.0	151.0	151	36.36363636363637	11529170.0
SRR34661419	66.9060908905229	54.0	151.0	151	36.36363636363637	10196466.0
SRR34661420	64.64224523813752	52.0	151.0	151	36.36363636363637	12322177.0
SRR34661421	64.03414505161841	53.0	151.0	151	27.27272727272727	14285606.0
SRR34661422	61.78336225463821	53.0	151.0	151	36.36363636363637	14093716.0
SRR34661423	57.26991653994912	53.0	151.0	151	36.36363636363637	10327614.0
SRR34661424	68.38742382798603	48.0	65.61899531337858	62	27.27272727272727	17924853.0
SRR34661425	84.37765319937685	46.0	68.73120943210694	62	27.27272727272727	13276355.0
SRR34661426	63.70697208978549	48.0	64.37179574488061	57	27.27272727272727	12525571.0
SRR34661427	77.40773735697559	47.0	68.73711317599337	62	27.27272727272727	14547184.0
SRR34661428	46.3300509552063	48.0	66.1387941544308	62	9.090909090909092	21264995.0
SRR34661429	88.84676163933113	47.0	69.34770263484049	62	27.27272727272727	14785525.0
SRR34661430	68.32082806800253	48.0	64.60076216786459	57	27.27272727272727	18544996.0
SRR34661431	37.17171892216026	48.0	66.85667978415034	57	18.181818181818183	16728310.0
SRR34661432	60.010397565695094	46.0	69.283180347467	62	27.27272727272727	29183088.0
SRR34661433	65.74891834969613	47.0	76.17621602151324	67	36.36363636363637	35385846.0
SRR34661434	61.36544586153616	45.0	70.33181552090214	62	36.36363636363637	28988650.0
SRR34661435	65.5741579136636	47.0	70.75628588020786	67	27.27272727272727	46145566.0
SRR34661436	56.275812444531766	46.0	66.14302432064386	62	27.27272727272727	28079602.0
SRR34661437	60.06379634371083	47.0	70.08496495899452	62	27.27272727272727	30896231.0
SRR34661438	63.99935687470435	46.0	71.73679414913354	62	36.36363636363637	36492783.0
SRR34661439	60.427086313262116	46.0	70.1771751834133	62	36.36363636363637	28584624.0
SRR34661440	59.376491820323146	46.0	67.50122368521086	62	27.27272727272727	29871653.0
SRR34661441	64.76346702447466	47.0	80.85683540390221	72	36.36363636363637	12546391.0
SRR34661442	62.1270996107028	46.0	69.91411711860904	62	27.27272727272727	33719048.0
