Sample	Reads passing filters	Reads that were too short	Reads that were too long	Filtered reads (uncategorised)
SRR34661416	9371594.0	1753681.0	1068908.0	1857.0
SRR34661417	8924772.0	2142402.0	1480832.0	3053.0
SRR34661418	8068012.0	1826678.0	1631394.0	3086.0
SRR34661419	7188068.0	2350851.0	655571.0	1976.0
SRR34661420	8723418.0	2223448.0	1373174.0	2137.0
SRR34661421	11113928.0	1738631.0	1430837.0	2210.0
SRR34661422	10647962.0	2260661.0	1183642.0	1451.0
SRR34661423	7093949.0	1578900.0	1652696.0	2069.0
SRR34661424	13390803.0	1533814.0	2966392.0	33844.0
SRR34661425	9417502.0	748214.0	3077544.0	33095.0
SRR34661426	9005321.0	1269440.0	2210194.0	40616.0
SRR34661427	9598102.0	1327422.0	3565358.0	56302.0
SRR34661428	15927809.0	2138841.0	3130723.0	67622.0
SRR34661429	10303417.0	1211664.0	3220102.0	50342.0
SRR34661430	13865234.0	1688816.0	2942840.0	48106.0
SRR34661431	11991970.0	1524575.0	3175130.0	36635.0
SRR34661432	19283981.0	3849858.0	5226690.0	822559.0
SRR34661433	21471664.0	3624091.0	9644937.0	645154.0
SRR34661434	19423448.0	3302854.0	5475129.0	787219.0
SRR34661435	32744300.0	4404744.0	8457037.0	539485.0
SRR34661436	17277632.0	5249327.0	4833615.0	719028.0
SRR34661437	19953336.0	4454931.0	6019802.0	468162.0
SRR34661438	25349512.0	3773530.0	6641557.0	728184.0
SRR34661439	19165791.0	3304324.0	5613785.0	500724.0
SRR34661440	21465085.0	3419835.0	4527573.0	459160.0
SRR34661441	7149835.0	994554.0	4194582.0	207420.0
SRR34661442	22698404.0	4329123.0	6302347.0	389174.0
SRR34661443	19235482.0	4475905.0	3198934.0	592229.0
