.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR34661416	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661417	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661418	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661419	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661420	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661421	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661422	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661423	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661424	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661425	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661426	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661427	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661428	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661429	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR34661430	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661431	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661432	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661433	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661434	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661435	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661436	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661437	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661438	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661439	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR34661440	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661441	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661442	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR34661443	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
