Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR34661416 - polya	(1, 0.0006402326007720778)	(2, 0.001547228785199188)	(3, 0.0037133490844780516)	(4, 0.005004484829368408)	(5, 0.007010546978454252)	(6, 0.008451070330191428)	(7, 0.014266516453871135)	(8, 0.020199338554359056)	(9, 0.02741262585639113)	(10, 0.03443384337819159)	(11, 0.04707843724344012)	(12, 0.05527341453332272)	(13, 0.06153702347754288)	(14, 0.07107648922904684)	(15, 0.0805946138938584)	(16, 0.11669306203405738)	(17, 0.12116401969611573)	(18, 0.1268087371262562)	(19, 0.13426744692525092)	(20, 0.13724452851884109)	(21, 0.14031764500254706)	(22, 0.1421849900881323)	(23, 0.14488463755472122)	(24, 0.14651723068669)	(25, 0.14864066881258406)	(26, 0.15021990922782186)	(27, 0.15196987833659886)	(28, 0.15336771951495123)	(29, 0.15507500645034344)	(30, 0.15662223523554264)	(31, 0.15818013456408803)	(32, 0.15902310748843793)	(33, 0.16006882073636566)	(34, 0.1612959332211788)	(35, 0.1628538325497242)	(36, 0.1636754643873817)	(37, 0.1652333637159271)	(38, 0.16580957305662195)	(39, 0.16636444131062442)	(40, 0.1670686971714737)	(41, 0.1685839143266343)	(42, 0.16906408877721335)	(43, 0.1702378485452955)	(44, 0.17045125941221953)
SRR34661417 - polya	(1, 0.0009972243548630711)	(2, 0.0020840868539834965)	(3, 0.004425883372706888)	(4, 0.006308284402111337)	(5, 0.008750923833124253)	(6, 0.011529706305102248)	(7, 0.02214062163156661)	(8, 0.031888769819553936)	(9, 0.04130077496657618)	(10, 0.0509032611701453)	(11, 0.06444982572103802)	(12, 0.0773577184940971)	(13, 0.08441672235436379)	(14, 0.09572233329882265)	(15, 0.10495506215733018)	(16, 0.13610431728676095)	(17, 0.14078791032420773)	(18, 0.14597571792310213)	(19, 0.15221677371702044)	(20, 0.1552644706217705)	(21, 0.1586595153355178)	(22, 0.16037384484443973)	(23, 0.16281648427545264)	(24, 0.16459804239256756)	(25, 0.16621152898919994)	(26, 0.16774658220960714)	(27, 0.16940488787836822)	(28, 0.1711304221553223)	(29, 0.17299041364866238)	(30, 0.17461510501332694)	(31, 0.17592606287309076)	(32, 0.17699051583614686)	(33, 0.17784207820659173)	(34, 0.17917544560241988)	(35, 0.18072170359085923)	(36, 0.18148362781704674)	(37, 0.18294024766122877)	(38, 0.18385903863986666)	(39, 0.18437445796934646)	(40, 0.18520361080372696)	(41, 0.18691794031264888)	(42, 0.18734372149787132)	(43, 0.18867708889369947)	(44, 0.18883395564614985)
SRR34661418 - polya	(1, 0.0013138304702571093)	(2, 0.002652450194670013)	(3, 0.006222102793104423)	(4, 0.007982139838165833)	(5, 0.010076831814330469)	(6, 0.012530967975754126)	(7, 0.021355942455216975)	(8, 0.03205250562344231)	(9, 0.04393895299114577)	(10, 0.0546850946676827)	(11, 0.07373563648641078)	(12, 0.08991062482306669)	(13, 0.09947927692720338)	(14, 0.11533200495983398)	(15, 0.12853228279779455)	(16, 0.17775134692412456)	(17, 0.18542362108534297)	(18, 0.1941866224294163)	(19, 0.20343301422952767)	(20, 0.20796944774003806)	(21, 0.2137453439583382)	(22, 0.21745133745462947)	(23, 0.22213650649007463)	(24, 0.22512361161584787)	(25, 0.22884199973921704)	(26, 0.23117218962986172)	(27, 0.23430803028056973)	(28, 0.2376173957103683)	(29, 0.24041858142997308)	(30, 0.2439882340284075)	(31, 0.24696294452710282)	(32, 0.24879734933463163)	(33, 0.2503838616006025)	(34, 0.2528875762703377)	(35, 0.25499466287358025)	(36, 0.25653159663123953)	(37, 0.25950630712993483)	(38, 0.26084492685434774)	(39, 0.26196044329135854)	(40, 0.26326187913453775)	(41, 0.26534417648362446)	(42, 0.2661126433624541)	(43, 0.26800902130537235)	(44, 0.2683436762364756)
SRR34661419 - polya	(1, 0.0005008299865833212)	(2, 0.0016555213445393114)	(3, 0.0034362501857244532)	(4, 0.004994387921761452)	(5, 0.0064829659374396565)	(6, 0.00863931726856229)	(7, 0.015650937080728785)	(8, 0.02358074520163137)	(9, 0.032567861071987635)	(10, 0.04045593336067494)	(11, 0.05470176409015608)	(12, 0.06623476572564423)	(13, 0.0735941841396047)	(14, 0.08363860775941463)	(15, 0.09525508105933334)	(16, 0.13367987058553146)	(17, 0.1385490510106471)	(18, 0.14383558975791547)	(19, 0.1501237884783505)	(20, 0.15322615200635276)	(21, 0.15728843967530637)	(22, 0.15963955822343362)	(23, 0.1620741484359914)	(24, 0.163771405612746)	(25, 0.16552431056578765)	(26, 0.16680420942038945)	(27, 0.1682510516038524)	(28, 0.1694613907380954)	(29, 0.1713255912437111)	(30, 0.17310632008489624)	(31, 0.17435839505135456)	(32, 0.17513746391937304)	(33, 0.17597218056367858)	(34, 0.17695992859277346)	(35, 0.1781007080066577)	(36, 0.17865718576952805)	(37, 0.1795892860223359)	(38, 0.17993708462412988)	(39, 0.18045182655478495)	(40, 0.18102221626172707)	(41, 0.18226037928411362)	(42, 0.18258035399776407)	(43, 0.18333159897763907)	(44, 0.18337333480985432)
SRR34661420 - polya	(1, 0.0013641441921045168)	(2, 0.0026709714013474994)	(3, 0.00716462285769179)	(4, 0.0115207135551684)	(5, 0.015704853304060403)	(6, 0.019052165103174007)	(7, 0.030435317899474724)	(8, 0.04212798240322772)	(9, 0.05525357147851909)	(10, 0.06605209104963215)	(11, 0.08280011344177247)	(12, 0.10060276831856504)	(13, 0.10878763347119214)	(14, 0.11987273795661288)	(15, 0.13016686807854444)	(16, 0.17005948815017233)	(17, 0.1755275283151627)	(18, 0.18158020170534073)	(19, 0.18832067888985715)	(20, 0.19213798994843534)	(21, 0.19612725195559813)	(22, 0.1985689554254995)	(23, 0.20162968231030542)	(24, 0.20348675255501913)	(25, 0.2055960175243236)	(26, 0.20770528249362807)	(27, 0.2097801572732156)	(28, 0.21145381317277243)	(29, 0.213941370228963)	(30, 0.21584429405996594)	(31, 0.21695624352747972)	(32, 0.21804526620184886)	(33, 0.21919160585907954)	(34, 0.22079648137920252)	(35, 0.22272233200335007)	(36, 0.22382281807429152)	(37, 0.22584037587101752)	(38, 0.2264479358893498)	(39, 0.22698671552824823)	(40, 0.22801842121975582)	(41, 0.2304601246896572)	(42, 0.23090719715597716)	(43, 0.23248914588295552)	(44, 0.23270695041782935)
SRR34661421 - polya	(1, 0.00043189050711863527)	(2, 0.001286673802457601)	(3, 0.0035540989648304364)	(4, 0.004921752237372781)	(5, 0.006730293735932066)	(6, 0.0082599059486439)	(7, 0.012974710651355668)	(8, 0.018886211967541987)	(9, 0.025031653975084237)	(10, 0.03026832637389769)	(11, 0.041425497807795766)	(12, 0.050747134586439646)	(13, 0.055803852607287)	(14, 0.06380282470788005)	(15, 0.06893152447991385)	(16, 0.087025937184405)	(17, 0.09008516160982867)	(18, 0.09375623092033708)	(19, 0.09707638919381159)	(20, 0.09880395122228612)	(21, 0.1009813991956759)	(22, 0.10209711633906572)	(23, 0.10342877873601485)	(24, 0.10458048675499787)	(25, 0.10560622670940463)	(26, 0.10651499631813342)	(27, 0.1073967727701673)	(28, 0.10825155606550628)	(29, 0.10919631654982828)	(30, 0.11001510896957403)	(31, 0.11057296754126894)	(32, 0.11108583751847231)	(33, 0.11150873030669264)	(34, 0.1121475683484723)	(35, 0.11278640639025195)	(36, 0.11313731742728583)	(37, 0.113821144063557)	(38, 0.11426203228957395)	(39, 0.1145409615754214)	(40, 0.11484688401796377)	(41, 0.11578264678338747)	(42, 0.1160165874747434)	(43, 0.1169163593645739)	(44, 0.11702433199135355)
SRR34661422 - polya	(1, 0.00042261608371630175)	(2, 0.0016153325866489756)	(3, 0.004667559857933377)	(4, 0.0064613303465959025)	(5, 0.009043984191528858)	(6, 0.011382459854759061)	(7, 0.019214944606301188)	(8, 0.027122561106059543)	(9, 0.03733108739493999)	(10, 0.04479730487392799)	(11, 0.06151411885203948)	(12, 0.07478426388073135)	(13, 0.08087932695477312)	(14, 0.09298492988611341)	(15, 0.09977496163115533)	(16, 0.12436182623491707)	(17, 0.12830624301626922)	(18, 0.13380964357310818)	(19, 0.13862746692747402)	(20, 0.14146369042263673)	(21, 0.14398999545640753)	(22, 0.14578376594507006)	(23, 0.1481691989509354)	(24, 0.1496342680411519)	(25, 0.15128716650190902)	(26, 0.15267710384390928)	(27, 0.15422669615086906)	(28, 0.15548515293349094)	(29, 0.1572601404850994)	(30, 0.15877216691795107)	(31, 0.1601808871970054)	(32, 0.161026119364438)	(33, 0.16181500272070842)	(34, 0.1630358936292222)	(35, 0.16430374188037108)	(36, 0.1648860129290469)	(37, 0.16633229908220934)	(38, 0.1669051786623581)	(39, 0.16749684117956093)	(40, 0.16805093782265565)	(41, 0.16968505334635867)	(42, 0.17006071208743984)	(43, 0.17115951390510223)	(44, 0.1713097774015347)
SRR34661423 - polya	(1, 0.00152242425199279)	(2, 0.003199910233355216)	(3, 0.007978630802110361)	(4, 0.011826980994647691)	(5, 0.016478832875736774)	(6, 0.021187070840232993)	(7, 0.034155870023875275)	(8, 0.04647622924833545)	(9, 0.059585993640495584)	(10, 0.07247021369902716)	(11, 0.08894904657476393)	(12, 0.10748597149486132)	(13, 0.11695883350726091)	(14, 0.13230994471485488)	(15, 0.14243124668643656)	(16, 0.1776725488158993)	(17, 0.1832547710732062)	(18, 0.18973917066502732)	(19, 0.19560332333936994)	(20, 0.19890190921868764)	(21, 0.20260929420270712)	(22, 0.20531582620624986)	(23, 0.2079518756055337)	(24, 0.20960116854519253)	(25, 0.21195528752744064)	(26, 0.21385831784243162)	(27, 0.21594460292849582)	(28, 0.21739654457622967)	(29, 0.2192713818495171)	(30, 0.2210898330393974)	(31, 0.22235851991605804)	(32, 0.22317611812546156)	(33, 0.22414877806423475)	(34, 0.22584036056644896)	(35, 0.22763061871462567)	(36, 0.22865966473680596)	(37, 0.2307177567811666)	(38, 0.23132390717779336)	(39, 0.23197234713697548)	(40, 0.23283223490893437)	(41, 0.23489032695329498)	(42, 0.23556695995418067)	(43, 0.23675106770573062)	(44, 0.23707528768532168)
SRR34661425 - polya	(1, 0.004204936723135285)	(2, 0.005553489662120592)	(3, 0.01078842351188245)	(4, 0.012211306140418128)	(5, 0.013326251483673696)	(6, 0.016416242863553414)	(7, 0.03235465200856873)	(8, 0.05536500018794793)	(9, 0.0760180353558725)	(10, 0.09584282541166436)	(11, 0.11927791467418855)	(12, 0.15927790617936688)	(13, 0.17454734811842887)	(14, 0.19341647073714452)	(15, 0.23168564232850708)	(16, 0.2935597996156518)	(17, 0.3017573025203499)	(18, 0.3091477973670725)	(19, 0.3209662180055815)	(20, 0.3253410511619748)	(21, 0.3304485626867932)	(22, 0.33327309088970725)	(23, 0.3377222537356509)	(24, 0.34012204085542)	(25, 0.3427872911521548)	(26, 0.3449959447845087)	(27, 0.34745944306674953)	(28, 0.34933892235966607)	(29, 0.35110159785471773)	(30, 0.35326777737875714)	(31, 0.3545632376823493)	(32, 0.35607106852751397)	(33, 0.35745147704773517)	(34, 0.3591292043261578)	(35, 0.36070074633379423)	(36, 0.3617519805145781)	(37, 0.36465083840704254)	(38, 0.365457846465018)	(39, 0.3664028953750156)	(40, 0.3674435110287208)	(41, 0.3683673228845611)	(42, 0.36894072334680683)	(43, 0.36955659791736706)	(44, 0.36976896845893953)
SRR34661426 - polya	(1, 0.0036756046786116784)	(2, 0.004763850172581299)	(3, 0.007917541195921833)	(4, 0.008905845777179958)	(5, 0.009905254904294915)	(6, 0.012403777722082312)	(7, 0.025551560016572425)	(8, 0.046872288061691525)	(9, 0.06330701592980417)	(10, 0.07882006649179968)	(11, 0.095143748901344)	(12, 0.13032295017579051)	(13, 0.14038366872208108)	(14, 0.15411999194698334)	(15, 0.18038224289839308)	(16, 0.21500621687999794)	(17, 0.22058069890012805)	(18, 0.225633267264987)	(19, 0.23179629021552925)	(20, 0.23478341305101727)	(21, 0.2377594313406485)	(22, 0.23944732231088708)	(23, 0.2421901451375248)	(24, 0.24393355883704756)	(25, 0.2456769725365703)	(26, 0.24674300893882628)	(27, 0.2479645089830779)	(28, 0.24901944083947702)	(29, 0.24998553632902148)	(30, 0.25111820000641843)	(31, 0.2520620864042492)	(32, 0.2526395227888045)	(33, 0.253205854627503)	(34, 0.2539276501081971)	(35, 0.25452729558446613)	(36, 0.2551380456065919)	(37, 0.25637065019670036)	(38, 0.2569591911271125)	(39, 0.25741447750724267)	(40, 0.25785865934151597)	(41, 0.25812516844207994)	(42, 0.2583139457216461)	(43, 0.25865818664320794)	(44, 0.25872481391834895)
