Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR34661416	(1, 0.0)	(2, 0.05872000003414574)	(3, 0.00020274032357782466)	(4, 0.021821261142981652)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 8.536434676961037e-05)	(12, 0.0019633799757010385)	(13, 0.0)	(14, 0.00029877521369363634)	(15, 0.0003627984737708441)	(16, 7.67211233199992e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0011958244798724055)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.002646256051735566)	(33, 0.0)	(34, 0.0)	(35, 0.0007976798910597177)	(36, 0.005201557285056354)	(37, 0.0)	(38, 0.0)	(39, 0.0005420264044291301)	(40, 0.0013839038952010285)	(41, 0.002326263044520022)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.00048749335790299855)	(49, 0.0030971258671952428)	(50, 0.0)	(51, 0.00469283276450512)	(52, 0.0)	(53, 0.0009283930444793108)	(54, 0.0)	(55, 0.002701242571582928)
SRR34661417	(1, 0.0)	(2, 0.05847768435989177)	(3, 0.0001792762885147094)	(4, 0.021378697405379097)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 8.96381442573547e-05)	(12, 0.0023193869826590528)	(13, 0.0)	(14, 0.0002353001286755561)	(15, 0.0004481907212867735)	(16, 0.0001849825393824936)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0012594148758486806)	(28, 0.0)	(29, 0.0)	(30, 2.609523665378693e-05)	(31, 0.0)	(32, 0.003540591340329337)	(33, 0.0)	(34, 0.0)	(35, 0.0008150054732711315)	(36, 0.005289305740053763)	(37, 0.0)	(38, 0.0)	(39, 0.00043161337800052223)	(40, 0.0012875764025115314)	(41, 0.0025080452036230013)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0010337039161872864)	(49, 0.006015073774879849)	(50, 0.0)	(51, 0.0018791252671881238)	(52, 0.0005838938714499253)	(53, 0.002934387104346805)	(54, 0.0)	(55, 0.00289544546428468)
SRR34661418	(1, 0.0)	(2, 0.057188809337417934)	(3, 0.0003098656769474314)	(4, 0.021888911419566556)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0001115516437010753)	(12, 0.0023797683989562734)	(13, 0.0)	(14, 0.0002231032874021506)	(15, 0.0003346549311032259)	(16, 7.621131212126948e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0010096550741106622)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0030921182718964694)	(33, 0.0)	(34, 0.0)	(35, 0.0012455619777486015)	(36, 0.0066835943132514015)	(37, 0.0)	(38, 0.0)	(39, 0.00048205432270162523)	(40, 0.0012742294734374123)	(41, 0.002340013747580767)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000279292941988063)	(49, 0.004176371375793109)	(50, 0.0)	(51, 0.002395611240207939)	(52, 0.0011917459674295828)	(53, 0.0010038749573353142)	(54, 0.0)	(55, 0.005827505827505828)
SRR34661419	(1, 0.0)	(2, 0.05670508403648936)	(3, 0.0001947672170046249)	(4, 0.022119991074096686)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 9.738360850231245e-05)	(12, 0.0023650304921990165)	(13, 0.0)	(14, 0.00016694332886110704)	(15, 0.00044518221029628545)	(16, 8.648216082020834e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0008192300241989978)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.002399131125484284)	(33, 0.0)	(34, 0.0)	(35, 0.001030091018842425)	(36, 0.005572830065077007)	(37, 0.0)	(38, 0.0)	(39, 0.0004361568187303184)	(40, 0.001695495223327548)	(41, 0.0014494066491530031)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0010555426544786675)	(49, 0.006227697059904218)	(50, 0.0)	(51, 0.0029529593574360437)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.01119194180190263)
SRR34661420	(1, 0.0)	(2, 0.05735137305125124)	(3, 0.00012609736229537549)	(4, 0.021333381021063073)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00020634113830152355)	(12, 0.0021780453487383043)	(13, 0.0)	(14, 0.00022926793144613727)	(15, 0.00036682869031381965)	(16, 0.00011883083764808104)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0010629987329959783)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0029877665687436696)	(33, 0.0)	(34, 0.0)	(35, 0.0010267450883757326)	(36, 0.006171628325910883)	(37, 0.0)	(38, 0.0)	(39, 0.0004362424402820453)	(40, 0.0015308274198745793)	(41, 0.0034511197556253252)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000529757821212033)	(49, 0.0030823480094196555)	(50, 0.0)	(51, 0.008364495178114545)	(52, 0.0)	(53, 0.0039047247169074584)	(54, 0.0)	(55, 0.008632348286478865)
SRR34661421	(1, 0.0)	(2, 0.05619975223881241)	(3, 0.00023394069135592748)	(4, 0.020676758028304664)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 8.09794700847441e-05)	(12, 0.002114463941101652)	(13, 0.0)	(14, 0.00031492016144067154)	(15, 0.0005128699772033794)	(16, 8.320528194525813e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0012030013164271549)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0031123718687315876)	(33, 0.0)	(34, 0.0)	(35, 0.0009912370142319106)	(36, 0.006111529400213503)	(37, 0.0)	(38, 0.0)	(39, 0.0006693960173614551)	(40, 0.0014897452322832048)	(41, 0.00297605269597307)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0008008221774355004)	(49, 0.004670321971996749)	(50, 0.0)	(51, 0.003950714832464999)	(52, 0.0006146205947068874)	(53, 0.0)	(54, 0.0)	(55, 0.006029726551900871)
SRR34661422	(1, 0.0)	(2, 0.05782327172091711)	(3, 9.391468527028928e-05)	(4, 0.020896017472639365)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.000131480559378405)	(12, 0.002084906013000422)	(13, 0.0)	(14, 0.00022539524464869427)	(15, 0.00044139902077035964)	(16, 0.00010638920362361627)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0009957321261519583)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0027436011152577144)	(33, 0.0)	(34, 0.0)	(35, 0.001047730845489456)	(36, 0.004940592771414183)	(37, 0.0)	(38, 0.0)	(39, 0.00029424451837174503)	(40, 0.0010549924102604838)	(41, 0.0030646971829731127)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.00019394842135682434)	(49, 0.003990537991030157)	(50, 0.0)	(51, 0.005415486259895955)	(52, 0.0004203199475440705)	(53, 0.0014462466284375474)	(54, 0.0)	(55, 0.006106000162826671)
SRR34661423	(1, 0.0)	(2, 0.05659753121991714)	(3, 0.00012686868766606583)	(4, 0.021694545590897257)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0001409652085178509)	(12, 0.001860740752435632)	(13, 0.0)	(14, 0.00023964085448034656)	(15, 0.00040879910470176766)	(16, 8.727741168944195e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0012217679338351575)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0028076221879477525)	(33, 0.0)	(34, 0.0)	(35, 0.0006538002735262599)	(36, 0.005235717157509764)	(37, 0.0)	(38, 0.0)	(39, 0.0005244008065284404)	(40, 0.0012914616855604437)	(41, 0.0018985879779299696)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.00032003481978839295)	(49, 0.00337054666521858)	(50, 0.0)	(51, 0.003625881542450008)	(52, 0.0)	(53, 0.001197332343538596)	(54, 0.0)	(55, 0.0)
SRR34661424	(1, 0.6656210236234525)	(2, 0.0013964808533140245)	(3, 0.001291931484616718)	(4, 0.0)	(5, 2.2403436149422854e-05)	(6, 0.00012695280484672952)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.002367296419789015)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 1.7097835610636802e-05)	(20, 3.571276154464122e-05)	(21, 0.0003446885222168987)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0003341226647164595)	(27, 0.00012665870124167747)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0006338822753838157)	(32, 0.0)	(33, 0.0003503391552514492)	(34, 0.0)	(35, 0.00010657829667987291)	(36, 0.0038138915297794155)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0011456984750753297)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 8.993808662116999e-05)	(45, 0.0)	(46, 0.0)	(47, 0.000917067010086427)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.001176761317501971)	(53, 0.007443047396262527)	(54, 0.0)	(55, 0.0)
SRR34661425	(1, 0.6699228733904171)	(2, 0.001412264101457053)	(3, 0.0010299971266265725)	(4, 0.0)	(5, 1.0618527078624458e-05)	(6, 0.0002336075957297381)	(7, 2.1237054157248917e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.002569683553027119)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 2.3443393815726485e-05)	(20, 1.2152824194814634e-05)	(21, 0.00029018526562865296)	(22, 0.0)	(23, 3.0768904145479075e-05)	(24, 0.0)	(25, 0.0)	(26, 0.00039753565752871016)	(27, 0.00011978539249081347)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0008511564480268674)	(32, 0.0)	(33, 0.00040411420590750314)	(34, 0.0)	(35, 0.00010499751418385169)	(36, 0.004362969184233837)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0010250126746759582)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0001385970650685501)	(45, 0.0)	(46, 0.0)	(47, 0.0008271384112738965)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.00044077329266465086)	(53, 0.007429922323539344)	(54, 0.0)	(55, 0.0)
