Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR34661416	(1, 39.44391903874624)	(2, 39.0171117101317)	(3, 39.34753447492497)	(4, 39.45859893204934)	(5, 39.57065521617774)	(6, 39.6202663068844)	(7, 39.59322245500606)	(8, 39.65872017076284)	(9, 39.65091285431272)	(10, 39.68032780762803)	(11, 39.702557963992035)	(12, 39.65570328804257)	(13, 39.68156068220625)	(14, 39.67885025749088)	(15, 39.65728733020231)	(16, 39.62752946803546)	(17, 39.6669873692077)	(18, 39.72104251933719)	(19, 39.713540661392884)	(20, 39.71619556265702)	(21, 39.61022460995079)	(22, 39.69304771643321)	(23, 39.68572424150173)	(24, 39.519716452152494)	(25, 39.74614130312259)	(26, 39.60914659598188)	(27, 39.71575663178098)	(28, 39.733012549092166)	(29, 39.606624947745246)	(30, 39.607920662964304)	(31, 39.66071364503494)	(32, 39.704188477277064)	(33, 39.59655514257336)	(34, 39.65134596051946)	(35, 39.68097647414093)	(36, 39.708264846162415)	(37, 39.70435130681735)	(38, 39.7325831749709)	(39, 39.69281272987727)	(40, 39.71517873932868)	(41, 39.677473864434695)	(42, 39.72529484901738)	(43, 39.690660492737464)	(44, 39.673679143022106)	(45, 39.64917004928965)	(46, 39.64487203551667)	(47, 39.65024658035796)	(48, 39.70927602361418)	(49, 39.682651590233355)	(50, 39.695068687016565)	(51, 39.7007337883959)	(52, 39.68727807676229)	(53, 39.730097574108974)	(54, 39.64129285606404)	(55, 39.66836844948676)
SRR34661417	(1, 39.37540174695779)	(2, 38.93823819812988)	(3, 39.29299381541624)	(4, 39.429809187282316)	(5, 39.54725454050815)	(6, 39.58857223467445)	(7, 39.5599700474141)	(8, 39.62985945187171)	(9, 39.613372083903094)	(10, 39.64364927193658)	(11, 39.661931643743955)	(12, 39.63775914947743)	(13, 39.641751296279615)	(14, 39.649247846331534)	(15, 39.61180688985668)	(16, 39.58697526378799)	(17, 39.631067436647925)	(18, 39.673988179949056)	(19, 39.628693716309684)	(20, 39.663111395568805)	(21, 39.539633520837796)	(22, 39.6477218422713)	(23, 39.629123857353065)	(24, 39.41086155050255)	(25, 39.69844925578095)	(26, 39.52414471107606)	(27, 39.679697412582115)	(28, 39.6914012194379)	(29, 39.533714765371315)	(30, 39.511985672671265)	(31, 39.61338261547192)	(32, 39.65102700239682)	(33, 39.514115989878455)	(34, 39.604931543101266)	(35, 39.644507347019655)	(36, 39.68063502523164)	(37, 39.67563190237398)	(38, 39.69166552565116)	(39, 39.67254643980108)	(40, 39.68105066234445)	(41, 39.65149587599532)	(42, 39.68543530737461)	(43, 39.656138334695235)	(44, 39.64378648729814)	(45, 39.6156751495847)	(46, 39.60053097307958)	(47, 39.63636427188267)	(48, 39.65861928167915)	(49, 39.65623853376562)	(50, 39.66001409048211)	(51, 39.66617339628403)	(52, 39.65613322122571)	(53, 39.66428655268203)	(54, 39.58018169635205)	(55, 39.62110200654371)
SRR34661418	(1, 39.365725782262096)	(2, 38.858448400919585)	(3, 39.22322301949972)	(4, 39.38678561707643)	(5, 39.54732243829087)	(6, 39.58597818149006)	(7, 39.55552805325525)	(8, 39.62856500461328)	(9, 39.60618229125093)	(10, 39.65184632843878)	(11, 39.675504696819985)	(12, 39.63655693620684)	(13, 39.64619946028836)	(14, 39.646458755886826)	(15, 39.627932630739764)	(16, 39.604786553072856)	(17, 39.63930669124474)	(18, 39.68942883580936)	(19, 39.643590586663386)	(20, 39.67050009168035)	(21, 39.520351159223274)	(22, 39.64839226405331)	(23, 39.644447991559595)	(24, 39.407552517348364)	(25, 39.704999663439594)	(26, 39.51858367568171)	(27, 39.69481453032232)	(28, 39.68999416936974)	(29, 39.53479725752969)	(30, 39.52112689205822)	(31, 39.596597461236634)	(32, 39.644431217049615)	(33, 39.45885919817752)	(34, 39.57251220196183)	(35, 39.633863093489055)	(36, 39.66360541544418)	(37, 39.645953432351014)	(38, 39.658556432212755)	(39, 39.63339286704219)	(40, 39.66058689310574)	(41, 39.62991025072272)	(42, 39.662673694298036)	(43, 39.63558353401626)	(44, 39.637239890641105)	(45, 39.606557629787225)	(46, 39.571398028536706)	(47, 39.59854374922868)	(48, 39.65698358036794)	(49, 39.635714400449764)	(50, 39.65026579062911)	(51, 39.64537766811202)	(52, 39.62833614386757)	(53, 39.67394141385749)	(54, 39.58469428863615)	(55, 39.622727272727275)
SRR34661419	(1, 39.344268306866326)	(2, 38.755123629882185)	(3, 39.15762594343849)	(4, 39.4320823064)	(5, 39.566482815688445)	(6, 39.61328329114304)	(7, 39.57598759499771)	(8, 39.663224109732965)	(9, 39.63198609139479)	(10, 39.67372901870155)	(11, 39.70248125087297)	(12, 39.674191173483614)	(13, 39.681207662476204)	(14, 39.66809829845794)	(15, 39.65124592588718)	(16, 39.62500715279538)	(17, 39.66265885018356)	(18, 39.71726341935426)	(19, 39.65268374126668)	(20, 39.692757707970884)	(21, 39.40018163932154)	(22, 39.66139405863469)	(23, 39.64706781238315)	(24, 39.26344110302468)	(25, 39.73140378613787)	(26, 39.32176950579228)	(27, 39.71662384207782)	(28, 39.73075628396125)	(29, 39.45365836808541)	(30, 39.30226414638707)	(31, 39.604692831953464)	(32, 39.69870998070969)	(33, 39.27907945757526)	(34, 39.61823218533953)	(35, 39.668055229360064)	(36, 39.700653727086)	(37, 39.70115592939207)	(38, 39.73296922443167)	(39, 39.695957989375216)	(40, 39.7123546112846)	(41, 39.67855240510916)	(42, 39.73822606620439)	(43, 39.6864710819027)	(44, 39.67663144412424)	(45, 39.65630452383939)	(46, 39.65127692842252)	(47, 39.669839765678844)	(48, 39.71732039941734)	(49, 39.6828358441332)	(50, 39.697381999460205)	(51, 39.70641678068371)	(52, 39.70012651852944)	(53, 39.727960376341855)	(54, 39.630429793790775)	(55, 39.68265249020705)
SRR34661420	(1, 39.389436801033725)	(2, 38.786230466085655)	(3, 39.208861366037944)	(4, 39.45523211200013)	(5, 39.56532324829556)	(6, 39.60732192358546)	(7, 39.59086598853798)	(8, 39.64725111189215)	(9, 39.65339239733783)	(10, 39.67925829072962)	(11, 39.69437495715555)	(12, 39.67750805934096)	(13, 39.682380690687985)	(14, 39.69198587067592)	(15, 39.65803702172703)	(16, 39.623106014694145)	(17, 39.67357044635993)	(18, 39.718696063530274)	(19, 39.70076532315894)	(20, 39.713603433754685)	(21, 39.624503465459455)	(22, 39.69632853840555)	(23, 39.69171836457494)	(24, 39.531425527444355)	(25, 39.73600850404731)	(26, 39.59368364690856)	(27, 39.7001839213978)	(28, 39.72826654168803)	(29, 39.60146402601005)	(30, 39.580388709281)	(31, 39.67533071090138)	(32, 39.70576432749793)	(33, 39.61120561622207)	(34, 39.65827493044555)	(35, 39.67564095913122)	(36, 39.711945070178984)	(37, 39.718654761505235)	(38, 39.74034123057229)	(39, 39.721463564304315)	(40, 39.71406669661986)	(41, 39.688793948682736)	(42, 39.724539074406636)	(43, 39.686425476192305)	(44, 39.67624279316062)	(45, 39.66357764403726)	(46, 39.650008478002846)	(47, 39.674651019800365)	(48, 39.6924702872082)	(49, 39.68297126018716)	(50, 39.701483630596)	(51, 39.704915370989966)	(52, 39.7027923912514)	(53, 39.71304178055447)	(54, 39.62740203103571)	(55, 39.64362788823986)
SRR34661421	(1, 39.42705630268614)	(2, 38.849265084315824)	(3, 39.24556745373913)	(4, 39.47211094043438)	(5, 39.59552374282072)	(6, 39.64238611227282)	(7, 39.62124561181249)	(8, 39.678388774877796)	(9, 39.666274246153115)	(10, 39.686525951940666)	(11, 39.70477341584362)	(12, 39.68939343497637)	(13, 39.69439220768751)	(14, 39.700330702160386)	(15, 39.67795769416538)	(16, 39.65458482829342)	(17, 39.68711791423616)	(18, 39.723743141500414)	(19, 39.70082538709313)	(20, 39.72456275940912)	(21, 39.56630757336065)	(22, 39.6988500401949)	(23, 39.676186059970924)	(24, 39.49223973772604)	(25, 39.71915289888522)	(26, 39.49933386351452)	(27, 39.68894541779923)	(28, 39.666332341829936)	(29, 39.543065946640205)	(30, 39.51795740462375)	(31, 39.66021183302241)	(32, 39.6982364919885)	(33, 39.476198444778404)	(34, 39.647983995640985)	(35, 39.71559968262393)	(36, 39.73497152377961)	(37, 39.71774813395854)	(38, 39.70703386288937)	(39, 39.70419724690806)	(40, 39.718652390650924)	(41, 39.70503349712646)	(42, 39.729791615940265)	(43, 39.712145701252986)	(44, 39.69412011261424)	(45, 39.66988266114829)	(46, 39.67755263101764)	(47, 39.701067598598264)	(48, 39.702040761848835)	(49, 39.69896661342499)	(50, 39.71751835222008)	(51, 39.725519148620954)	(52, 39.713808066280684)	(53, 39.69862566779495)	(54, 39.65435132891717)	(55, 39.65874762579517)
SRR34661422	(1, 39.46210241922351)	(2, 38.96399329749674)	(3, 39.35297693586811)	(4, 39.52445416315347)	(5, 39.62645358801994)	(6, 39.67104700411215)	(7, 39.65018197848565)	(8, 39.6974242582759)	(9, 39.69690068390552)	(10, 39.71962071239548)	(11, 39.736356497140015)	(12, 39.70930963127029)	(13, 39.720560047077555)	(14, 39.73273270509418)	(15, 39.701048332065795)	(16, 39.664849539068776)	(17, 39.71176550644755)	(18, 39.75552399714642)	(19, 39.73082275756942)	(20, 39.75036867191638)	(21, 39.66880588607268)	(22, 39.73856945242955)	(23, 39.72916812185925)	(24, 39.58592119831442)	(25, 39.7629723425505)	(26, 39.66904964819515)	(27, 39.74928361222407)	(28, 39.7603535057901)	(29, 39.672566881994875)	(30, 39.67823248751611)	(31, 39.7073244914446)	(32, 39.73600747292389)	(33, 39.66585326481268)	(34, 39.70422274558708)	(35, 39.73748558846222)	(36, 39.76239646851868)	(37, 39.75879917441502)	(38, 39.76828516292172)	(39, 39.73868556265731)	(40, 39.768612238160195)	(41, 39.73989131015804)	(42, 39.77307369759748)	(43, 39.7455556621344)	(44, 39.74210778413696)	(45, 39.7052730710214)	(46, 39.70657932761776)	(47, 39.73191429127519)	(48, 39.76740153723519)	(49, 39.7557679901212)	(50, 39.75798210953792)	(51, 39.76510666815592)	(52, 39.73552628260632)	(53, 39.77121101461432)	(54, 39.69849892943374)	(55, 39.757205080192136)
SRR34661423	(1, 39.421792854727315)	(2, 38.99056223832452)	(3, 39.33372357201891)	(4, 39.46271942468152)	(5, 39.553539784399355)	(6, 39.5995196751485)	(7, 39.597049964695266)	(8, 39.64922372574147)	(9, 39.65391039602907)	(10, 39.6607359314255)	(11, 39.674601410300525)	(12, 39.66317477049807)	(13, 39.66565589913319)	(14, 39.685578089157396)	(15, 39.64527613604214)	(16, 39.60814187699675)	(17, 39.65873776715303)	(18, 39.69615610093838)	(19, 39.693883745930414)	(20, 39.70622950099428)	(21, 39.6458245550511)	(22, 39.6882473856136)	(23, 39.67250086926646)	(24, 39.58270161692729)	(25, 39.69537406081141)	(26, 39.61990154797048)	(27, 39.678571946731935)	(28, 39.69688850591375)	(29, 39.601985988846124)	(30, 39.6496827691862)	(31, 39.650720465245215)	(32, 39.682901626901995)	(33, 39.63507353690775)	(34, 39.656148589015984)	(35, 39.69108234257827)	(36, 39.70902534216381)	(37, 39.704766406975175)	(38, 39.711533872236224)	(39, 39.706380122412625)	(40, 39.702277492682484)	(41, 39.68332607299227)	(42, 39.707649586323534)	(43, 39.684330956622354)	(44, 39.67849860340569)	(45, 39.63335936049256)	(46, 39.642961938996535)	(47, 39.662487265213585)	(48, 39.67383011271626)	(49, 39.6738621596216)	(50, 39.697824354555316)	(51, 39.68866972449344)	(52, 39.70854798337403)	(53, 39.723392281995714)	(54, 39.637578646329835)	(55, 39.65812382739212)
SRR34661424	(1, 31.41797784643684)	(2, 31.7040588977375)	(3, 35.755804935671144)	(4, 36.240880849341146)	(5, 36.4876068298518)	(6, 40.1016544713562)	(7, 40.26730756923241)	(8, 40.19946660405653)	(9, 40.31679130818368)	(10, 40.36664425576271)	(11, 40.283728391792486)	(12, 40.327280223598244)	(13, 40.2820511212061)	(14, 40.28209697357209)	(15, 40.38909279749691)	(16, 40.270676346029866)	(17, 40.323503213750584)	(18, 40.34570562761033)	(19, 40.3290813580845)	(20, 40.28804788509919)	(21, 40.286139264037836)	(22, 40.27893989890915)	(23, 40.27508209781003)	(24, 40.25858850654129)	(25, 40.21885200748251)	(26, 40.1939131671327)	(27, 40.081728919418325)	(28, 40.060060611829385)	(29, 40.13106587787842)	(30, 40.1335408339435)	(31, 40.142748243634905)	(32, 40.11029002072337)	(33, 40.06494775904212)	(34, 40.0382713910121)	(35, 40.07244837347309)	(36, 40.00563551621612)	(37, 40.02284819694764)	(38, 39.968836126554784)	(39, 39.934811795781286)	(40, 39.89482051542247)	(41, 39.976615496568186)	(42, 39.973630858389896)	(43, 39.930523181322805)	(44, 40.00569577902572)	(45, 40.05346417967953)	(46, 39.885421758572775)	(47, 39.93376155995718)	(48, 39.98424158826438)	(49, 39.972324678434)	(50, 39.62944803946017)	(51, 39.72584918757137)	(52, 39.67879711458125)	(53, 39.791839230176244)	(54, 39.677067254685774)	(55, 39.65065963060686)
SRR34661425	(1, 31.42312197013603)	(2, 31.642247912450667)	(3, 35.7378389725853)	(4, 36.19049658816107)	(5, 36.45543605937116)	(6, 40.030668217537944)	(7, 40.21544057012146)	(8, 40.240043803547906)	(9, 40.28269407322664)	(10, 40.32130739128062)	(11, 40.2988544095876)	(12, 40.292482443858255)	(13, 40.25635778999569)	(14, 40.272528107772104)	(15, 40.353247602177305)	(16, 40.22204182203895)	(17, 40.27170727176597)	(18, 40.3104000205375)	(19, 40.29459367206537)	(20, 40.237587226895656)	(21, 40.247952963744126)	(22, 40.22279708487459)	(23, 40.20701549475859)	(24, 40.20570360472496)	(25, 40.172618622245786)	(26, 40.141724680054786)	(27, 40.0885337828746)	(28, 40.03128350315088)	(29, 40.082888796231096)	(30, 40.08830468512187)	(31, 40.080495689196574)	(32, 40.063363338177844)	(33, 40.03118993852615)	(34, 40.007333841652496)	(35, 40.00984351695474)	(36, 39.949518150238845)	(37, 39.96446016792222)	(38, 39.84538521420129)	(39, 39.88006594932829)	(40, 39.84960698648639)	(41, 39.86100114551767)	(42, 39.89401905019012)	(43, 39.85658257747092)	(44, 39.934263412037986)	(45, 39.956335360224124)	(46, 39.901972703165285)	(47, 39.890317310973025)	(48, 39.940499316497586)	(49, 39.92484032425647)	(50, 39.84446839633536)	(51, 39.795634690624546)	(52, 39.64391688778794)	(53, 39.76074299223235)	(54, 39.72894908616188)	(55, 39.61852906684537)
