Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR34661416	(0.0, 61.0)	(1.0, 64.0)	(2.0, 72.5)	(3.0, 87.5)	(4.0, 97.0)	(5.0, 109.5)	(6.0, 132.5)	(7.0, 166.5)	(8.0, 246.0)	(9.0, 389.5)	(10.0, 619.5)	(11.0, 963.0)	(12.0, 1538.0)	(13.0, 2358.5)	(14.0, 3230.5)	(15.0, 4410.0)	(16.0, 6144.5)	(17.0, 8475.5)	(18.0, 11956.0)	(19.0, 15639.0)	(20.0, 21372.5)	(21.0, 27068.5)	(22.0, 30663.5)	(23.0, 35235.0)	(24.0, 43990.0)	(25.0, 59802.0)	(26.0, 81177.5)	(27.0, 127813.0)	(28.0, 206564.0)	(29.0, 301869.0)	(30.0, 363957.5)	(31.0, 362717.5)	(32.0, 371029.0)	(33.0, 406619.5)	(34.0, 425736.0)	(35.0, 446603.0)	(36.0, 485638.5)	(37.0, 535883.0)	(38.0, 602906.0)	(39.0, 697751.0)	(40.0, 782965.5)	(41.0, 800196.0)	(42.0, 797509.0)	(43.0, 957304.0)	(44.0, 1121615.0)	(45.0, 1173123.5)	(46.0, 1223017.0)	(47.0, 1276918.0)	(48.0, 1314524.0)	(49.0, 1338194.0)	(50.0, 1323966.5)	(51.0, 1257222.0)	(52.0, 1035666.5)	(53.0, 837412.5)	(54.0, 801382.0)	(55.0, 761015.0)	(56.0, 855224.0)	(57.0, 952692.5)	(58.0, 952585.5)	(59.0, 963424.5)	(60.0, 901098.0)	(61.0, 838693.0)	(62.0, 822309.5)	(63.0, 748617.0)	(64.0, 650505.5)	(65.0, 589220.0)	(66.0, 525411.5)	(67.0, 490497.5)	(68.0, 488854.0)	(69.0, 434749.5)	(70.0, 386863.0)	(71.0, 358047.5)	(72.0, 303560.0)	(73.0, 273385.5)	(74.0, 271530.0)	(75.0, 253049.0)	(76.0, 236766.5)	(77.0, 195858.0)	(78.0, 136847.0)	(79.0, 103419.5)	(80.0, 93990.5)	(81.0, 88511.5)	(82.0, 83951.5)	(83.0, 77928.5)	(84.0, 68557.5)	(85.0, 60105.0)	(86.0, 52218.0)	(87.0, 46670.0)	(88.0, 41135.0)	(89.0, 36343.5)	(90.0, 30580.0)	(91.0, 22544.0)	(92.0, 17589.5)	(93.0, 15485.0)	(94.0, 14365.0)	(95.0, 13910.5)	(96.0, 13732.0)	(97.0, 10132.0)	(98.0, 4995.5)	(99.0, 3443.5)	(100.0, 3441.0)
SRR34661417	(0.0, 76.0)	(1.0, 78.0)	(2.0, 95.5)	(3.0, 116.5)	(4.0, 125.0)	(5.0, 141.5)	(6.0, 187.5)	(7.0, 251.0)	(8.0, 349.0)	(9.0, 505.0)	(10.0, 738.5)	(11.0, 1074.0)	(12.0, 1536.0)	(13.0, 2237.5)	(14.0, 3032.5)	(15.0, 4142.0)	(16.0, 5722.0)	(17.0, 7638.5)	(18.0, 10275.0)	(19.0, 13083.0)	(20.0, 17944.0)	(21.0, 22601.0)	(22.0, 25001.5)	(23.0, 28338.0)	(24.0, 35313.5)	(25.0, 49823.0)	(26.0, 70251.5)	(27.0, 117687.5)	(28.0, 193412.5)	(29.0, 275437.5)	(30.0, 314291.5)	(31.0, 289741.0)	(32.0, 282545.5)	(33.0, 305265.5)	(34.0, 313967.0)	(35.0, 327538.0)	(36.0, 359181.0)	(37.0, 399823.0)	(38.0, 451626.5)	(39.0, 526932.5)	(40.0, 599639.0)	(41.0, 620596.5)	(42.0, 626266.0)	(43.0, 733688.5)	(44.0, 847413.0)	(45.0, 904929.0)	(46.0, 962443.5)	(47.0, 1042117.0)	(48.0, 1169493.0)	(49.0, 1258688.0)	(50.0, 1264059.5)	(51.0, 1222815.0)	(52.0, 1031874.5)	(53.0, 862822.0)	(54.0, 833224.0)	(55.0, 787975.0)	(56.0, 874923.0)	(57.0, 1007283.0)	(58.0, 1082462.5)	(59.0, 1116858.5)	(60.0, 1038074.5)	(61.0, 998297.0)	(62.0, 995440.5)	(63.0, 907527.5)	(64.0, 790110.5)	(65.0, 720614.5)	(66.0, 614631.5)	(67.0, 538330.5)	(68.0, 539637.0)	(69.0, 483005.5)	(70.0, 427599.0)	(71.0, 393414.5)	(72.0, 335650.5)	(73.0, 297299.5)	(74.0, 284544.0)	(75.0, 257628.5)	(76.0, 237024.5)	(77.0, 198622.5)	(78.0, 148639.0)	(79.0, 119478.5)	(80.0, 109551.5)	(81.0, 103395.5)	(82.0, 97841.0)	(83.0, 88987.0)	(84.0, 75756.5)	(85.0, 64967.0)	(86.0, 55961.5)	(87.0, 50169.5)	(88.0, 45484.0)	(89.0, 41533.0)	(90.0, 34678.5)	(91.0, 24630.5)	(92.0, 18640.5)	(93.0, 16382.0)	(94.0, 15498.0)	(95.0, 15181.0)	(96.0, 14971.5)	(97.0, 10736.5)	(98.0, 4776.0)	(99.0, 3028.0)	(100.0, 3027.0)
SRR34661418	(0.0, 111.0)	(1.0, 111.5)	(2.0, 119.0)	(3.0, 123.0)	(4.0, 124.0)	(5.0, 141.0)	(6.0, 163.0)	(7.0, 198.0)	(8.0, 297.5)	(9.0, 489.0)	(10.0, 805.0)	(11.0, 1186.5)	(12.0, 1659.5)	(13.0, 2397.5)	(14.0, 3230.0)	(15.0, 4278.5)	(16.0, 5536.5)	(17.0, 6831.5)	(18.0, 8426.0)	(19.0, 10022.0)	(20.0, 12640.0)	(21.0, 15585.0)	(22.0, 18223.5)	(23.0, 22010.5)	(24.0, 27869.0)	(25.0, 36969.0)	(26.0, 49276.0)	(27.0, 74353.5)	(28.0, 114651.0)	(29.0, 164148.0)	(30.0, 202352.5)	(31.0, 210574.5)	(32.0, 220333.5)	(33.0, 242872.0)	(34.0, 258661.0)	(35.0, 279709.0)	(36.0, 310745.5)	(37.0, 361850.0)	(38.0, 425550.0)	(39.0, 498216.5)	(40.0, 566476.0)	(41.0, 566135.5)	(42.0, 554007.0)	(43.0, 634860.0)	(44.0, 719983.0)	(45.0, 773807.5)	(46.0, 831436.0)	(47.0, 906158.0)	(48.0, 1055719.0)	(49.0, 1183006.0)	(50.0, 1210447.0)	(51.0, 1180753.0)	(52.0, 998820.5)	(53.0, 835726.5)	(54.0, 805780.0)	(55.0, 776482.0)	(56.0, 894288.0)	(57.0, 1028209.0)	(58.0, 1039548.5)	(59.0, 1036081.0)	(60.0, 945424.5)	(61.0, 847041.5)	(62.0, 804561.5)	(63.0, 715114.5)	(64.0, 598088.0)	(65.0, 530967.0)	(66.0, 478273.0)	(67.0, 454004.0)	(68.0, 451516.0)	(69.0, 399340.5)	(70.0, 345052.5)	(71.0, 307206.5)	(72.0, 258512.0)	(73.0, 220786.5)	(74.0, 205174.5)	(75.0, 184074.5)	(76.0, 168276.0)	(77.0, 144578.0)	(78.0, 114882.5)	(79.0, 94393.0)	(80.0, 85598.5)	(81.0, 78517.5)	(82.0, 72876.5)	(83.0, 67283.0)	(84.0, 58800.5)	(85.0, 51087.0)	(86.0, 43715.0)	(87.0, 38949.0)	(88.0, 35172.0)	(89.0, 31892.5)	(90.0, 26632.0)	(91.0, 18939.0)	(92.0, 14189.0)	(93.0, 12490.0)	(94.0, 11785.5)	(95.0, 11453.5)	(96.0, 11288.5)	(97.0, 8227.5)	(98.0, 3883.0)	(99.0, 2585.5)	(100.0, 2583.0)
SRR34661419	(0.0, 43.0)	(1.0, 44.5)	(2.0, 48.5)	(3.0, 57.0)	(4.0, 66.0)	(5.0, 73.0)	(6.0, 89.0)	(7.0, 115.5)	(8.0, 164.5)	(9.0, 260.5)	(10.0, 452.0)	(11.0, 725.0)	(12.0, 1091.5)	(13.0, 1656.0)	(14.0, 2297.0)	(15.0, 3174.0)	(16.0, 4427.5)	(17.0, 5860.5)	(18.0, 7672.0)	(19.0, 9512.0)	(20.0, 12460.0)	(21.0, 15546.5)	(22.0, 17785.5)	(23.0, 20845.0)	(24.0, 26042.5)	(25.0, 34846.5)	(26.0, 47178.0)	(27.0, 73133.0)	(28.0, 115542.0)	(29.0, 166151.5)	(30.0, 201922.5)	(31.0, 207320.0)	(32.0, 217170.0)	(33.0, 240160.0)	(34.0, 255578.0)	(35.0, 274075.5)	(36.0, 302997.0)	(37.0, 342154.0)	(38.0, 390832.5)	(39.0, 454096.5)	(40.0, 512437.5)	(41.0, 523343.0)	(42.0, 522333.0)	(43.0, 630351.0)	(44.0, 744089.5)	(45.0, 802441.5)	(46.0, 860896.0)	(47.0, 943046.5)	(48.0, 1096740.5)	(49.0, 1207960.5)	(50.0, 1200803.5)	(51.0, 1143574.0)	(52.0, 935270.5)	(53.0, 750901.0)	(54.0, 729790.0)	(55.0, 674395.0)	(56.0, 725839.5)	(57.0, 807995.0)	(58.0, 812742.5)	(59.0, 827218.5)	(60.0, 774487.5)	(61.0, 772354.0)	(62.0, 809156.0)	(63.0, 747019.0)	(64.0, 661031.5)	(65.0, 606611.5)	(66.0, 502934.5)	(67.0, 429384.0)	(68.0, 428634.5)	(69.0, 384626.5)	(70.0, 345763.5)	(71.0, 317768.0)	(72.0, 265454.0)	(73.0, 239017.5)	(74.0, 240939.5)	(75.0, 222676.5)	(76.0, 208064.0)	(77.0, 171522.5)	(78.0, 115477.5)	(79.0, 82200.0)	(80.0, 73371.5)	(81.0, 68375.0)	(82.0, 64481.5)	(83.0, 57889.0)	(84.0, 47724.0)	(85.0, 40317.5)	(86.0, 34874.0)	(87.0, 31437.5)	(88.0, 28439.5)	(89.0, 25951.0)	(90.0, 21144.0)	(91.0, 14301.0)	(92.0, 10683.5)	(93.0, 9585.5)	(94.0, 9148.0)	(95.0, 8943.0)	(96.0, 8835.0)	(97.0, 6210.5)	(98.0, 2617.5)	(99.0, 1638.0)	(100.0, 1638.0)
SRR34661420	(0.0, 135.0)	(1.0, 138.5)	(2.0, 169.0)	(3.0, 230.0)	(4.0, 272.5)	(5.0, 327.0)	(6.0, 417.0)	(7.0, 514.0)	(8.0, 667.5)	(9.0, 900.5)	(10.0, 1240.0)	(11.0, 1690.0)	(12.0, 2415.0)	(13.0, 3426.0)	(14.0, 4456.0)	(15.0, 5899.0)	(16.0, 7993.5)	(17.0, 10854.5)	(18.0, 15326.5)	(19.0, 20189.5)	(20.0, 28954.0)	(21.0, 36683.5)	(22.0, 38351.0)	(23.0, 40935.0)	(24.0, 49392.5)	(25.0, 64354.5)	(26.0, 87022.5)	(27.0, 150192.5)	(28.0, 249099.0)	(29.0, 349528.5)	(30.0, 391637.0)	(31.0, 356834.5)	(32.0, 342133.5)	(33.0, 363717.5)	(34.0, 375463.5)	(35.0, 390054.0)	(36.0, 421087.0)	(37.0, 464568.5)	(38.0, 518373.5)	(39.0, 601129.5)	(40.0, 679357.5)	(41.0, 696141.5)	(42.0, 696682.0)	(43.0, 807707.0)	(44.0, 921974.0)	(45.0, 960913.5)	(46.0, 997602.5)	(47.0, 1054475.5)	(48.0, 1118522.5)	(49.0, 1155440.5)	(50.0, 1164006.0)	(51.0, 1132109.0)	(52.0, 961432.5)	(53.0, 807650.0)	(54.0, 775462.0)	(55.0, 725813.0)	(56.0, 789403.5)	(57.0, 897937.0)	(58.0, 932382.5)	(59.0, 922414.5)	(60.0, 865524.0)	(61.0, 869020.5)	(62.0, 888616.5)	(63.0, 827912.5)	(64.0, 739331.5)	(65.0, 681032.5)	(66.0, 595794.0)	(67.0, 538630.0)	(68.0, 540182.5)	(69.0, 490243.5)	(70.0, 440594.0)	(71.0, 407191.0)	(72.0, 348128.5)	(73.0, 315099.5)	(74.0, 310435.5)	(75.0, 285658.5)	(76.0, 267803.5)	(77.0, 224593.0)	(78.0, 161937.5)	(79.0, 127326.5)	(80.0, 117478.5)	(81.0, 111115.5)	(82.0, 105047.5)	(83.0, 95227.0)	(84.0, 81763.0)	(85.0, 71375.0)	(86.0, 62406.5)	(87.0, 56358.5)	(88.0, 51564.5)	(89.0, 47310.0)	(90.0, 39981.5)	(91.0, 29516.0)	(92.0, 23229.5)	(93.0, 20688.5)	(94.0, 19853.0)	(95.0, 19729.5)	(96.0, 19500.5)	(97.0, 14408.5)	(98.0, 6637.5)	(99.0, 3934.5)	(100.0, 3933.0)
SRR34661421	(0.0, 55.0)	(1.0, 54.5)	(2.0, 60.5)	(3.0, 90.5)	(4.0, 116.5)	(5.0, 141.5)	(6.0, 183.0)	(7.0, 220.5)	(8.0, 277.5)	(9.0, 392.5)	(10.0, 581.0)	(11.0, 854.5)	(12.0, 1265.0)	(13.0, 1900.5)	(14.0, 2620.5)	(15.0, 3664.5)	(16.0, 5149.0)	(17.0, 6944.0)	(18.0, 9915.5)	(19.0, 13149.5)	(20.0, 18633.5)	(21.0, 23919.0)	(22.0, 26485.5)	(23.0, 30063.5)	(24.0, 37468.0)	(25.0, 50094.0)	(26.0, 68378.0)	(27.0, 115455.5)	(28.0, 191085.5)	(29.0, 269622.0)	(30.0, 308469.5)	(31.0, 295849.5)	(32.0, 297999.0)	(33.0, 327807.5)	(34.0, 350607.5)	(35.0, 377726.5)	(36.0, 418795.5)	(37.0, 467861.0)	(38.0, 526534.0)	(39.0, 605227.5)	(40.0, 688352.5)	(41.0, 737033.5)	(42.0, 767562.5)	(43.0, 909014.5)	(44.0, 1059202.0)	(45.0, 1143163.5)	(46.0, 1225988.5)	(47.0, 1383794.5)	(48.0, 1594518.5)	(49.0, 1695256.5)	(50.0, 1646684.0)	(51.0, 1562809.0)	(52.0, 1361050.0)	(53.0, 1160434.5)	(54.0, 1092485.0)	(55.0, 979410.5)	(56.0, 1033080.0)	(57.0, 1167499.5)	(58.0, 1228390.0)	(59.0, 1231384.0)	(60.0, 1145422.5)	(61.0, 1152033.0)	(62.0, 1177997.0)	(63.0, 1094696.5)	(64.0, 962022.5)	(65.0, 874064.0)	(66.0, 776230.5)	(67.0, 717405.5)	(68.0, 739764.0)	(69.0, 684777.0)	(70.0, 601258.5)	(71.0, 538521.0)	(72.0, 465139.5)	(73.0, 408843.0)	(74.0, 370685.0)	(75.0, 318320.5)	(76.0, 281418.5)	(77.0, 245195.0)	(78.0, 208876.5)	(79.0, 182425.0)	(80.0, 168963.5)	(81.0, 160026.0)	(82.0, 152687.5)	(83.0, 136495.5)	(84.0, 111148.5)	(85.0, 92435.5)	(86.0, 79652.0)	(87.0, 71478.5)	(88.0, 65256.5)	(89.0, 60020.0)	(90.0, 49176.5)	(91.0, 31834.5)	(92.0, 21523.5)	(93.0, 18802.0)	(94.0, 17900.5)	(95.0, 17484.0)	(96.0, 17193.0)	(97.0, 12257.0)	(98.0, 5126.0)	(99.0, 2909.0)	(100.0, 2908.0)
SRR34661422	(0.0, 53.0)	(1.0, 52.0)	(2.0, 61.0)	(3.0, 121.5)	(4.0, 179.0)	(5.0, 211.5)	(6.0, 251.0)	(7.0, 300.0)	(8.0, 391.0)	(9.0, 530.0)	(10.0, 757.5)	(11.0, 1117.5)	(12.0, 1646.5)	(13.0, 2474.0)	(14.0, 3449.5)	(15.0, 4772.0)	(16.0, 6646.5)	(17.0, 8967.5)	(18.0, 12614.5)	(19.0, 16628.5)	(20.0, 23351.0)	(21.0, 29763.0)	(22.0, 32749.5)	(23.0, 36961.5)	(24.0, 45736.5)	(25.0, 60592.0)	(26.0, 82185.5)	(27.0, 135577.0)	(28.0, 222842.0)	(29.0, 321159.5)	(30.0, 375160.0)	(31.0, 361290.0)	(32.0, 363013.5)	(33.0, 394997.5)	(34.0, 413880.0)	(35.0, 440510.5)	(36.0, 485273.5)	(37.0, 537427.5)	(38.0, 604873.5)	(39.0, 704666.0)	(40.0, 801730.0)	(41.0, 829830.5)	(42.0, 836998.0)	(43.0, 972859.0)	(44.0, 1113437.5)	(45.0, 1167145.0)	(46.0, 1217227.0)	(47.0, 1262075.0)	(48.0, 1305783.0)	(49.0, 1354166.0)	(50.0, 1383623.5)	(51.0, 1349447.0)	(52.0, 1144780.0)	(53.0, 961002.5)	(54.0, 916105.5)	(55.0, 861976.0)	(56.0, 939281.5)	(57.0, 1070671.0)	(58.0, 1161639.5)	(59.0, 1208408.5)	(60.0, 1137631.5)	(61.0, 1066669.5)	(62.0, 1029907.0)	(63.0, 942164.5)	(64.0, 820474.0)	(65.0, 743945.0)	(66.0, 677130.5)	(67.0, 651604.5)	(68.0, 657182.0)	(69.0, 594724.0)	(70.0, 535982.5)	(71.0, 501106.5)	(72.0, 432048.0)	(73.0, 387694.5)	(74.0, 377806.5)	(75.0, 345994.5)	(76.0, 319767.0)	(77.0, 271898.0)	(78.0, 206355.0)	(79.0, 165618.0)	(80.0, 151010.0)	(81.0, 142788.0)	(82.0, 135861.0)	(83.0, 124780.0)	(84.0, 108786.0)	(85.0, 94866.5)	(86.0, 82628.5)	(87.0, 74734.0)	(88.0, 67995.0)	(89.0, 61756.0)	(90.0, 52620.5)	(91.0, 39492.0)	(92.0, 31317.0)	(93.0, 28424.5)	(94.0, 27594.5)	(95.0, 27369.5)	(96.0, 27053.0)	(97.0, 20128.5)	(98.0, 8968.5)	(99.0, 4708.0)	(100.0, 4708.0)
SRR34661423	(0.0, 117.0)	(1.0, 119.0)	(2.0, 159.5)	(3.0, 237.0)	(4.0, 281.5)	(5.0, 312.0)	(6.0, 368.5)	(7.0, 429.0)	(8.0, 522.0)	(9.0, 732.5)	(10.0, 1026.0)	(11.0, 1374.5)	(12.0, 1871.0)	(13.0, 2676.5)	(14.0, 3627.5)	(15.0, 4961.5)	(16.0, 6711.5)	(17.0, 8558.0)	(18.0, 11144.0)	(19.0, 13890.0)	(20.0, 18993.5)	(21.0, 24084.0)	(22.0, 26712.0)	(23.0, 30088.5)	(24.0, 36510.5)	(25.0, 49631.5)	(26.0, 68440.0)	(27.0, 111606.5)	(28.0, 178377.5)	(29.0, 247511.0)	(30.0, 276979.0)	(31.0, 252653.0)	(32.0, 243098.5)	(33.0, 260724.0)	(34.0, 271059.0)	(35.0, 284247.5)	(36.0, 309545.5)	(37.0, 339345.5)	(38.0, 374139.0)	(39.0, 426060.0)	(40.0, 476743.5)	(41.0, 496012.0)	(42.0, 504374.0)	(43.0, 578721.5)	(44.0, 659567.5)	(45.0, 697362.0)	(46.0, 732047.0)	(47.0, 791442.5)	(48.0, 890405.5)	(49.0, 949195.0)	(50.0, 941524.0)	(51.0, 916298.0)	(52.0, 775387.0)	(53.0, 628280.0)	(54.0, 589490.0)	(55.0, 554421.5)	(56.0, 604523.5)	(57.0, 702459.5)	(58.0, 796480.5)	(59.0, 837628.0)	(60.0, 799195.5)	(61.0, 809654.5)	(62.0, 817514.5)	(63.0, 747895.5)	(64.0, 654994.5)	(65.0, 607781.0)	(66.0, 530565.5)	(67.0, 468275.5)	(68.0, 474203.0)	(69.0, 423417.5)	(70.0, 368442.0)	(71.0, 340870.5)	(72.0, 291861.0)	(73.0, 256252.0)	(74.0, 241266.5)	(75.0, 215171.0)	(76.0, 195162.5)	(77.0, 165175.0)	(78.0, 128562.0)	(79.0, 105935.5)	(80.0, 97805.5)	(81.0, 93561.0)	(82.0, 89359.5)	(83.0, 81071.5)	(84.0, 69301.5)	(85.0, 60029.0)	(86.0, 52151.0)	(87.0, 46852.0)	(88.0, 42268.5)	(89.0, 38417.5)	(90.0, 32299.5)	(91.0, 23177.5)	(92.0, 17649.5)	(93.0, 15429.5)	(94.0, 14381.5)	(95.0, 14056.0)	(96.0, 13856.0)	(97.0, 10045.0)	(98.0, 4541.0)	(99.0, 2837.5)	(100.0, 2837.0)
SRR34661424	(0.0, 66.0)	(1.0, 65.0)	(2.0, 52.5)	(3.0, 33.0)	(4.0, 30.5)	(5.0, 40.5)	(6.0, 52.0)	(7.0, 74.5)	(8.0, 118.5)	(9.0, 217.5)	(10.0, 398.5)	(11.0, 617.5)	(12.0, 910.5)	(13.0, 1331.5)	(14.0, 1758.5)	(15.0, 2323.5)	(16.0, 3134.5)	(17.0, 4174.0)	(18.0, 5529.0)	(19.0, 7080.0)	(20.0, 9088.0)	(21.0, 11975.0)	(22.0, 16316.0)	(23.0, 22437.0)	(24.0, 29832.5)	(25.0, 39974.5)	(26.0, 52811.0)	(27.0, 68716.5)	(28.0, 93967.0)	(29.0, 123049.0)	(30.0, 168743.5)	(31.0, 223445.0)	(32.0, 257157.0)	(33.0, 305285.0)	(34.0, 405709.5)	(35.0, 484333.5)	(36.0, 529587.5)	(37.0, 603898.5)	(38.0, 677629.0)	(39.0, 802828.0)	(40.0, 955968.5)	(41.0, 1043176.0)	(42.0, 1080220.5)	(43.0, 1121320.0)	(44.0, 1180322.0)	(45.0, 1264734.0)	(46.0, 1307466.5)	(47.0, 1383795.0)	(48.0, 1485977.0)	(49.0, 1584473.5)	(50.0, 1633114.5)	(51.0, 1507026.5)	(52.0, 1350494.5)	(53.0, 1356138.5)	(54.0, 1443399.0)	(55.0, 1527879.0)	(56.0, 1822314.0)	(57.0, 2030178.5)	(58.0, 1962318.5)	(59.0, 1888534.5)	(60.0, 1715700.0)	(61.0, 1560412.0)	(62.0, 1473225.5)	(63.0, 1260565.5)	(64.0, 1067403.0)	(65.0, 967280.0)	(66.0, 857513.0)	(67.0, 789816.5)	(68.0, 782532.5)	(69.0, 729927.0)	(70.0, 697425.5)	(71.0, 662481.5)	(72.0, 634109.0)	(73.0, 642659.5)	(74.0, 630336.0)	(75.0, 600113.0)	(76.0, 560034.0)	(77.0, 489919.0)	(78.0, 349409.0)	(79.0, 232202.5)	(80.0, 198657.5)	(81.0, 182645.0)	(82.0, 168167.0)	(83.0, 145438.0)	(84.0, 116968.5)	(85.0, 97238.5)	(86.0, 81144.0)	(87.0, 70158.0)	(88.0, 62481.0)	(89.0, 57669.5)	(90.0, 48741.0)	(91.0, 33602.5)	(92.0, 24005.0)	(93.0, 21071.5)	(94.0, 19701.5)	(95.0, 19133.0)	(96.0, 18951.0)	(97.0, 12213.5)	(98.0, 3907.5)	(99.0, 2328.0)	(100.0, 2327.0)
SRR34661425	(0.0, 332.0)	(1.0, 309.5)	(2.0, 232.5)	(3.0, 167.0)	(4.0, 163.0)	(5.0, 201.5)	(6.0, 261.5)	(7.0, 336.0)	(8.0, 541.0)	(9.0, 989.5)	(10.0, 1795.0)	(11.0, 2828.5)	(12.0, 3990.5)	(13.0, 5420.5)	(14.0, 6797.0)	(15.0, 8453.0)	(16.0, 10575.0)	(17.0, 12985.5)	(18.0, 15903.0)	(19.0, 19029.5)	(20.0, 22850.5)	(21.0, 27644.5)	(22.0, 35298.5)	(23.0, 46130.5)	(24.0, 58853.0)	(25.0, 74489.0)	(26.0, 92557.0)	(27.0, 120262.0)	(28.0, 163966.0)	(29.0, 210851.0)	(30.0, 269183.0)	(31.0, 328627.0)	(32.0, 363487.0)	(33.0, 415615.5)	(34.0, 513512.5)	(35.0, 589873.5)	(36.0, 633820.5)	(37.0, 700018.5)	(38.0, 766086.0)	(39.0, 885709.0)	(40.0, 1021965.0)	(41.0, 1066579.5)	(42.0, 1065420.5)	(43.0, 1086083.5)	(44.0, 1111300.5)	(45.0, 1108020.5)	(46.0, 1075892.0)	(47.0, 1099597.5)	(48.0, 1121821.0)	(49.0, 1181951.5)	(50.0, 1253663.5)	(51.0, 1150904.0)	(52.0, 928643.5)	(53.0, 786629.5)	(54.0, 762844.5)	(55.0, 723551.0)	(56.0, 768909.5)	(57.0, 842322.5)	(58.0, 880083.5)	(59.0, 910862.5)	(60.0, 878145.5)	(61.0, 845487.0)	(62.0, 813215.0)	(63.0, 700584.0)	(64.0, 589933.0)	(65.0, 542269.5)	(66.0, 474457.0)	(67.0, 425231.5)	(68.0, 420229.0)	(69.0, 395698.0)	(70.0, 389576.0)	(71.0, 380775.5)	(72.0, 353630.0)	(73.0, 342956.5)	(74.0, 331799.0)	(75.0, 314015.0)	(76.0, 295938.5)	(77.0, 250887.5)	(78.0, 162697.5)	(79.0, 101622.0)	(80.0, 88132.0)	(81.0, 82263.5)	(82.0, 78198.5)	(83.0, 68660.5)	(84.0, 55527.5)	(85.0, 46290.0)	(86.0, 38600.0)	(87.0, 33074.0)	(88.0, 29374.5)	(89.0, 26849.5)	(90.0, 23416.5)	(91.0, 17639.5)	(92.0, 13454.5)	(93.0, 11502.0)	(94.0, 10382.0)	(95.0, 9934.0)	(96.0, 9781.0)	(97.0, 6623.5)	(98.0, 2553.5)	(99.0, 1632.0)	(100.0, 1631.0)
