Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR34661416	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 17.0)	(15.0, 56.0)	(16.0, 127.0)	(17.0, 224.0)	(18.0, 349.0)	(19.0, 506.0)	(20.0, 729.0)	(21.0, 1088.0)	(22.0, 1609.0)	(23.0, 2137.0)	(24.0, 2842.0)	(25.0, 3793.0)	(26.0, 4603.0)	(27.0, 5987.0)	(28.0, 7189.0)	(29.0, 9244.0)	(30.0, 11806.0)	(31.0, 14306.0)	(32.0, 21394.0)	(33.0, 28594.0)	(34.0, 42925.0)	(35.0, 65088.0)	(36.0, 108461.0)	(37.0, 184955.0)	(38.0, 400805.0)	(39.0, 1046058.0)	(40.0, 7406699.0)
SRR34661417	(13.0, 3.0)	(14.0, 32.0)	(15.0, 57.0)	(16.0, 159.0)	(17.0, 268.0)	(18.0, 477.0)	(19.0, 619.0)	(20.0, 981.0)	(21.0, 1405.0)	(22.0, 2047.0)	(23.0, 2503.0)	(24.0, 3542.0)	(25.0, 4711.0)	(26.0, 5591.0)	(27.0, 7053.0)	(28.0, 8373.0)	(29.0, 10634.0)	(30.0, 13214.0)	(31.0, 16345.0)	(32.0, 23887.0)	(33.0, 31326.0)	(34.0, 46704.0)	(35.0, 70391.0)	(36.0, 114928.0)	(37.0, 189102.0)	(38.0, 394140.0)	(39.0, 1037243.0)	(40.0, 6939037.0)		
SRR34661418	(12.0, 2.0)	(13.0, 6.0)	(14.0, 26.0)	(15.0, 63.0)	(16.0, 161.0)	(17.0, 270.0)	(18.0, 388.0)	(19.0, 630.0)	(20.0, 873.0)	(21.0, 1308.0)	(22.0, 1984.0)	(23.0, 2562.0)	(24.0, 3409.0)	(25.0, 4386.0)	(26.0, 5290.0)	(27.0, 6452.0)	(28.0, 7767.0)	(29.0, 9464.0)	(30.0, 12226.0)	(31.0, 14963.0)	(32.0, 21368.0)	(33.0, 28204.0)	(34.0, 41518.0)	(35.0, 62603.0)	(36.0, 103202.0)	(37.0, 167790.0)	(38.0, 361932.0)	(39.0, 995131.0)	(40.0, 6214034.0)	
SRR34661419	(12.0, 3.0)	(13.0, 13.0)	(14.0, 20.0)	(15.0, 71.0)	(16.0, 154.0)	(17.0, 276.0)	(18.0, 378.0)	(19.0, 601.0)	(20.0, 836.0)	(21.0, 1205.0)	(22.0, 1751.0)	(23.0, 2062.0)	(24.0, 2843.0)	(25.0, 3642.0)	(26.0, 4319.0)	(27.0, 5500.0)	(28.0, 6535.0)	(29.0, 8204.0)	(30.0, 10324.0)	(31.0, 12481.0)	(32.0, 18375.0)	(33.0, 24058.0)	(34.0, 36577.0)	(35.0, 57483.0)	(36.0, 99422.0)	(37.0, 162216.0)	(38.0, 330933.0)	(39.0, 846964.0)	(40.0, 5550822.0)	
SRR34661420	(12.0, 1.0)	(13.0, 7.0)	(14.0, 15.0)	(15.0, 73.0)	(16.0, 149.0)	(17.0, 308.0)	(18.0, 431.0)	(19.0, 593.0)	(20.0, 973.0)	(21.0, 1273.0)	(22.0, 1810.0)	(23.0, 2301.0)	(24.0, 3174.0)	(25.0, 4201.0)	(26.0, 4863.0)	(27.0, 6116.0)	(28.0, 7738.0)	(29.0, 9504.0)	(30.0, 11699.0)	(31.0, 14233.0)	(32.0, 21048.0)	(33.0, 27247.0)	(34.0, 41536.0)	(35.0, 61794.0)	(36.0, 101811.0)	(37.0, 172177.0)	(38.0, 372878.0)	(39.0, 1005471.0)	(40.0, 6849994.0)	
SRR34661421	(11.0, 1.0)	(12.0, 0.0)	(13.0, 4.0)	(14.0, 16.0)	(15.0, 62.0)	(16.0, 157.0)	(17.0, 339.0)	(18.0, 476.0)	(19.0, 656.0)	(20.0, 991.0)	(21.0, 1412.0)	(22.0, 2018.0)	(23.0, 2527.0)	(24.0, 3554.0)	(25.0, 4608.0)	(26.0, 5593.0)	(27.0, 7134.0)	(28.0, 8617.0)	(29.0, 10813.0)	(30.0, 13685.0)	(31.0, 16776.0)	(32.0, 24595.0)	(33.0, 33258.0)	(34.0, 49866.0)	(35.0, 78014.0)	(36.0, 133596.0)	(37.0, 220279.0)	(38.0, 484048.0)	(39.0, 1334096.0)	(40.0, 8676737.0)
SRR34661422	(12.0, 1.0)	(13.0, 3.0)	(14.0, 14.0)	(15.0, 30.0)	(16.0, 89.0)	(17.0, 177.0)	(18.0, 278.0)	(19.0, 451.0)	(20.0, 614.0)	(21.0, 877.0)	(22.0, 1342.0)	(23.0, 1708.0)	(24.0, 2403.0)	(25.0, 3106.0)	(26.0, 3963.0)	(27.0, 5067.0)	(28.0, 6438.0)	(29.0, 8248.0)	(30.0, 10591.0)	(31.0, 13280.0)	(32.0, 19997.0)	(33.0, 27146.0)	(34.0, 42147.0)	(35.0, 65122.0)	(36.0, 111058.0)	(37.0, 194391.0)	(38.0, 449030.0)	(39.0, 1245481.0)	(40.0, 8434910.0)	
SRR34661423	(12.0, 1.0)	(13.0, 1.0)	(14.0, 8.0)	(15.0, 47.0)	(16.0, 114.0)	(17.0, 195.0)	(18.0, 305.0)	(19.0, 418.0)	(20.0, 603.0)	(21.0, 893.0)	(22.0, 1219.0)	(23.0, 1714.0)	(24.0, 2316.0)	(25.0, 3041.0)	(26.0, 3771.0)	(27.0, 4751.0)	(28.0, 5801.0)	(29.0, 7309.0)	(30.0, 9382.0)	(31.0, 11440.0)	(32.0, 17030.0)	(33.0, 22767.0)	(34.0, 33885.0)	(35.0, 50740.0)	(36.0, 81989.0)	(37.0, 137269.0)	(38.0, 300749.0)	(39.0, 807079.0)	(40.0, 5589112.0)	
SRR34661424	(16.0, 8.0)	(17.0, 18.0)	(18.0, 49.0)	(19.0, 126.0)	(20.0, 243.0)	(21.0, 546.0)	(22.0, 1025.0)	(23.0, 1833.0)	(24.0, 3105.0)	(25.0, 5266.0)	(26.0, 8852.0)	(27.0, 13979.0)	(28.0, 21776.0)	(29.0, 33075.0)	(30.0, 49207.0)	(31.0, 69125.0)	(32.0, 95007.0)	(33.0, 126894.0)	(34.0, 168138.0)	(35.0, 222663.0)	(36.0, 317450.0)	(37.0, 495061.0)	(38.0, 1048908.0)	(39.0, 7160212.0)	(40.0, 3548237.0)					
SRR34661425	(17.0, 6.0)	(18.0, 30.0)	(19.0, 97.0)	(20.0, 220.0)	(21.0, 388.0)	(22.0, 852.0)	(23.0, 1431.0)	(24.0, 2541.0)	(25.0, 4065.0)	(26.0, 6903.0)	(27.0, 10622.0)	(28.0, 16703.0)	(29.0, 25448.0)	(30.0, 37726.0)	(31.0, 52403.0)	(32.0, 72252.0)	(33.0, 95725.0)	(34.0, 124917.0)	(35.0, 164773.0)	(36.0, 228027.0)	(37.0, 354651.0)	(38.0, 716316.0)	(39.0, 5039219.0)	(40.0, 2462187.0)						
