Sample	Unique Reads	Duplicate Reads
SRR34661416	1366317.0	8005277.0
SRR34661417	1160296.0	7764476.0
SRR34661418	730078.0	7337934.0
SRR34661419	841238.0	6346830.0
SRR34661420	1181573.0	7541845.0
SRR34661421	1457861.0	9656067.0
SRR34661422	1540658.0	9107304.0
SRR34661423	1202602.0	5891347.0
SRR34661424	293652.0	13097151.0
SRR34661425	325021.0	9092481.0
SRR34661426	256173.0	8749148.0
SRR34661427	325816.0	9272286.0
SRR34661428	2430117.0	13497692.0
SRR34661429	400876.0	9902541.0
SRR34661430	404068.0	13461166.0
SRR34661431	397248.0	11594722.0
SRR34661432	2936306.0	16347675.0
SRR34661433	2913437.0	18558227.0
SRR34661434	2758924.0	16664524.0
SRR34661435	4089396.0	28654904.0
SRR34661436	2799725.0	14477907.0
SRR34661437	2958568.0	16994768.0
SRR34661438	3747880.0	21601632.0
SRR34661439	2964090.0	16201701.0
SRR34661440	3258787.0	18206298.0
SRR34661441	1471525.0	5678310.0
SRR34661442	3080274.0	19618130.0
SRR34661443	2250838.0	16984644.0
