Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR34661416	(1.0, 7.3826078309774585)	(2.0, 6.4026722537550995)	(3.0, 4.413160483546323)	(4.0, 2.86707705758483)	(5.0, 1.9411345493744552)	(6.0, 1.4675566527392456)	(7.0, 1.1862009116339522)	(8.0, 1.00728581477518)	(9.0, 0.8966102127803799)	('>10', 12.687298962783167)	('>50', 4.56860140056124)	('>100', 9.393790850577258)	('>500', 3.921749972238316)	('>1k', 9.149706738933753)	('>5k', 5.59799849690169)	('>10k+', 27.116547810837638)
SRR34661417	(1.0, 6.072161337314871)	(2.0, 5.71951713802944)	(3.0, 4.429138512554175)	(4.0, 3.090399347493942)	(5.0, 2.042720141491617)	(6.0, 1.4842303402998427)	(7.0, 1.1170325855457282)	(8.0, 0.9545512324606096)	(9.0, 0.8607579678103784)	('>10', 12.812617460434996)	('>50', 5.021392139449862)	('>100', 10.047291504687019)	('>500', 4.088762832263454)	('>1k', 9.673803455897884)	('>5k', 5.431359658256716)	('>10k+', 27.15426434600951)
SRR34661418	(1.0, 2.758538088253744)	(2.0, 2.713459695506337)	(3.0, 3.320538605139721)	(4.0, 3.619435025754885)	(5.0, 3.5447978333160592)	(6.0, 2.8798209203152174)	(7.0, 2.4126520722925355)	(8.0, 1.9171075645242235)	(9.0, 1.5781089307488751)	('>10', 15.488366575381566)	('>50', 5.203596070919242)	('>100', 10.062158145216749)	('>500', 4.173590581384713)	('>1k', 9.005664387681826)	('>5k', 5.093701350723345)	('>10k+', 26.228464152840974)
SRR34661419	(1.0, 4.840098776383195)	(2.0, 5.084261453299277)	(3.0, 4.4808108184850255)	(4.0, 3.411249236987139)	(5.0, 2.4490530924470653)	(6.0, 1.784736635485078)	(7.0, 1.3244627863992497)	(8.0, 1.0669944601833643)	(9.0, 0.8947224203605874)	('>10', 12.36009094009337)	('>50', 4.365976217795922)	('>100', 9.25827534728955)	('>500', 3.9483708343990385)	('>1k', 10.005222127640373)	('>5k', 4.7383334314365735)	('>10k+', 29.987341421315183)
SRR34661420	(1.0, 6.0998085441648335)	(2.0, 6.214511968312348)	(3.0, 4.764712915360514)	(4.0, 3.284092157306466)	(5.0, 2.312147656121238)	(6.0, 1.5836986438533647)	(7.0, 1.2198340329911272)	(8.0, 1.0008147226375392)	(9.0, 0.8784825728842979)	('>10', 12.966684301200122)	('>50', 5.202379699098009)	('>100', 10.44510647167521)	('>500', 3.992980822158137)	('>1k', 10.835799956063056)	('>5k', 5.3514662408867295)	('>10k+', 23.84747929528698)
SRR34661421	(1.0, 6.734952127106797)	(2.0, 5.769082248109538)	(3.0, 3.834123992855301)	(4.0, 2.411030493108746)	(5.0, 1.6524529050357526)	(6.0, 1.2014316951331452)	(7.0, 0.9621738266986785)	(8.0, 0.8248984780031985)	(9.0, 0.7326271731031309)	('>10', 12.281571149160024)	('>50', 5.360848101967901)	('>100', 11.665704255734708)	('>500', 4.532103854702971)	('>1k', 10.353667442959374)	('>5k', 4.940387910234666)	('>10k+', 26.74294434608609)
SRR34661422	(1.0, 7.218762439762632)	(2.0, 6.3545545389974185)	(3.0, 4.413766601447044)	(4.0, 2.856403278524342)	(5.0, 1.937592129161355)	(6.0, 1.4429496211846322)	(7.0, 1.1492862596331292)	(8.0, 1.0176692688370654)	(9.0, 0.8994017821305628)	('>10', 14.155672466108454)	('>50', 5.854311975368582)	('>100', 11.566472619051044)	('>500', 4.054646169053611)	('>1k', 9.235334824255684)	('>5k', 4.69831259060156)	('>10k+', 23.1448634358829)
SRR34661423	(1.0, 9.972082713446166)	(2.0, 6.799380195297674)	(3.0, 3.7888465146431516)	(4.0, 2.3324862893737563)	(5.0, 1.682170488723388)	(6.0, 1.3142726440359196)	(7.0, 1.1143736706974112)	(8.0, 0.9462241150881002)	(9.0, 0.8556367789057344)	('>10', 13.183946980476719)	('>50', 5.096860884594155)	('>100', 9.945693918915467)	('>500', 4.139111917610435)	('>1k', 10.436275700602003)	('>5k', 6.488209080107874)	('>10k+', 21.904428107482026)
SRR34661424	(1.0, 1.346401161097963)	(2.0, 0.47508803322260745)	(3.0, 0.3051991716502769)	(4.0, 0.24500750816506392)	(5.0, 0.21589889578339594)	(6.0, 0.19286489111622557)	(7.0, 0.18341239663641612)	(8.0, 0.16875827594512227)	(9.0, 0.17273820832021516)	('>10', 4.318885072943899)	('>50', 3.2333261492319667)	('>100', 10.568345241190803)	('>500', 4.686603395088029)	('>1k', 12.956231547572179)	('>5k', 9.876142579384442)	('>10k+', 51.05509747265139)
SRR34661425	(1.0, 2.2097461891328045)	(2.0, 0.8156947469907255)	(3.0, 0.5233040476536465)	(4.0, 0.40738683113346597)	(5.0, 0.343667020187192)	(6.0, 0.29814358951357534)	(7.0, 0.2613041570346249)	(8.0, 0.25663101721211473)	(9.0, 0.23161949885918778)	('>10', 5.0936951980712655)	('>50', 3.014073125617683)	('>100', 9.214324720694611)	('>500', 5.095897625485989)	('>1k', 17.896011314854245)	('>5k', 11.036833850826957)	('>10k+', 43.30166706673191)
SRR34661426	(1.0, 1.7626077552927204)	(2.0, 0.6687224340020587)	(3.0, 0.4515203202179873)	(4.0, 0.3517148828483237)	(5.0, 0.3047472719365734)	(6.0, 0.278407622597416)	(7.0, 0.24267245962205072)	(8.0, 0.23004819591630787)	(9.0, 0.20540481558233548)	('>10', 4.586935580814995)	('>50', 2.851893848900022)	('>100', 9.082232862458932)	('>500', 5.09012758099585)	('>1k', 16.417459971610533)	('>5k', 11.128382139269085)	('>10k+', 46.3471222579348)
SRR34661427	(1.0, 2.166148142633173)	(2.0, 0.8201050461524818)	(3.0, 0.5281184939499036)	(4.0, 0.40020194257829433)	(5.0, 0.3465558265315796)	(6.0, 0.28980091724626256)	(7.0, 0.26529205781921317)	(8.0, 0.23273279622507623)	(9.0, 0.2198879888973034)	('>10', 4.917991346488289)	('>50', 2.9599980213578005)	('>100', 8.97341114043796)	('>500', 5.3484879261627185)	('>1k', 17.097388535657792)	('>5k', 12.447661650899398)	('>10k+', 42.986218166962765)
SRR34661428	(1.0, 11.733388127246753)	(2.0, 3.6566245422124597)	(3.0, 1.7062008480320867)	(4.0, 1.059456886820077)	(5.0, 0.7777679711765761)	(6.0, 0.6493656146955651)	(7.0, 0.5101764728955549)	(8.0, 0.4784306168095185)	(9.0, 0.4117195713870963)	('>10', 6.248781174962236)	('>50', 3.1429616756073835)	('>100', 9.36659774672957)	('>500', 4.7333196761075325)	('>1k', 12.101052294048984)	('>5k', 6.038470952074033)	('>10k+', 37.38568582919459)
SRR34661429	(1.0, 2.5212369658454774)	(2.0, 0.9168834578822385)	(3.0, 0.5769680551777621)	(4.0, 0.4471713882902807)	(5.0, 0.3687905120878269)	(6.0, 0.32462352084406415)	(7.0, 0.28090282168097463)	(8.0, 0.2590077687512108)	(9.0, 0.24230646485675578)	('>10', 5.551625193358275)	('>50', 3.4892603297181406)	('>100', 11.315432958326584)	('>500', 6.018531528429292)	('>1k', 19.17605564989771)	('>5k', 11.91172201750227)	('>10k+', 36.59948136735114)
