Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR34661416	(15, 247640.0)	(16, 217466.0)	(17, 232270.0)	(18, 239534.0)	(19, 358725.0)	(20, 308093.0)	(21, 323722.0)	(22, 766047.0)	(23, 402754.0)	(24, 331497.0)	(25, 294728.0)	(26, 297162.0)	(27, 293104.0)	(28, 346362.0)	(29, 724945.0)	(30, 1060964.0)	(31, 545859.0)	(32, 264408.0)	(33, 177587.0)	(34, 183637.0)	(35, 120964.0)	(36, 132692.0)	(37, 132212.0)	(38, 77772.0)	(39, 63041.0)	(40, 153724.0)	(41, 140902.0)	(42, 146386.0)	(43, 151768.0)	(44, 83789.0)	(45, 61704.0)	(46, 42209.0)	(47, 37665.0)	(48, 55094.0)	(49, 68287.0)	(50, 52481.0)	(51, 45427.0)	(52, 81260.0)	(53, 41503.0)	(54, 29190.0)	(55, 37020.0)
SRR34661417	(15, 275307.0)	(16, 264499.0)	(17, 263512.0)	(18, 279995.0)	(19, 435554.0)	(20, 309185.0)	(21, 302129.0)	(22, 588387.0)	(23, 379964.0)	(24, 311533.0)	(25, 259933.0)	(26, 252451.0)	(27, 258662.0)	(28, 304775.0)	(29, 606769.0)	(30, 810062.0)	(31, 423619.0)	(32, 245041.0)	(33, 191962.0)	(34, 198256.0)	(35, 148194.0)	(36, 159031.0)	(37, 180658.0)	(38, 85161.0)	(39, 69823.0)	(40, 164031.0)	(41, 188974.0)	(42, 163284.0)	(43, 168012.0)	(44, 93507.0)	(45, 66395.0)	(46, 46966.0)	(47, 42183.0)	(48, 54460.0)	(49, 68490.0)	(50, 51143.0)	(51, 41601.0)	(52, 69028.0)	(53, 38063.0)	(54, 29636.0)	(55, 34537.0)
SRR34661418	(15, 195165.0)	(16, 186863.0)	(17, 211916.0)	(18, 211266.0)	(19, 265665.0)	(20, 215484.0)	(21, 224886.0)	(22, 392133.0)	(23, 341463.0)	(24, 281818.0)	(25, 255558.0)	(26, 234565.0)	(27, 233569.0)	(28, 315151.0)	(29, 646524.0)	(30, 922353.0)	(31, 475771.0)	(32, 264808.0)	(33, 217552.0)	(34, 209231.0)	(35, 150374.0)	(36, 148011.0)	(37, 145565.0)	(38, 77648.0)	(39, 67491.0)	(40, 151547.0)	(41, 147008.0)	(42, 134086.0)	(43, 129319.0)	(44, 96315.0)	(45, 74567.0)	(46, 47293.0)	(47, 39000.0)	(48, 46772.0)	(49, 56187.0)	(50, 46373.0)	(51, 40894.0)	(52, 68207.0)	(53, 35076.0)	(54, 30218.0)	(55, 34320.0)
SRR34661419	(15, 250221.0)	(16, 222636.0)	(17, 218885.0)	(18, 219361.0)	(19, 385888.0)	(20, 264542.0)	(21, 245011.0)	(22, 506205.0)	(23, 336164.0)	(24, 285480.0)	(25, 235830.0)	(26, 233804.0)	(27, 216188.0)	(28, 267570.0)	(29, 567200.0)	(30, 839429.0)	(31, 351429.0)	(32, 255853.0)	(33, 159014.0)	(34, 156570.0)	(35, 91522.0)	(36, 82245.0)	(37, 63907.0)	(38, 45288.0)	(39, 39048.0)	(40, 96828.0)	(41, 72586.0)	(42, 84957.0)	(43, 82107.0)	(44, 49227.0)	(45, 32833.0)	(46, 21296.0)	(47, 19468.0)	(48, 28903.0)	(49, 34599.0)	(50, 24381.0)	(51, 20182.0)	(52, 33157.0)	(53, 17751.0)	(54, 12633.0)	(55, 17870.0)
SRR34661420	(15, 308094.0)	(16, 287892.0)	(17, 284872.0)	(18, 310709.0)	(19, 437576.0)	(20, 347262.0)	(21, 352339.0)	(22, 711014.0)	(23, 419882.0)	(24, 332479.0)	(25, 269685.0)	(26, 240160.0)	(27, 245807.0)	(28, 271618.0)	(29, 518877.0)	(30, 650286.0)	(31, 358509.0)	(32, 199520.0)	(33, 163666.0)	(34, 162663.0)	(35, 132971.0)	(36, 138278.0)	(37, 124700.0)	(38, 79177.0)	(39, 68899.0)	(40, 176415.0)	(41, 173406.0)	(42, 176200.0)	(43, 174267.0)	(44, 84455.0)	(45, 61726.0)	(46, 43658.0)	(47, 38825.0)	(48, 53103.0)	(49, 69715.0)	(50, 51473.0)	(51, 39008.0)	(52, 61792.0)	(53, 37547.0)	(54, 30140.0)	(55, 34753.0)
SRR34661421	(15, 297307.0)	(16, 308509.0)	(17, 308177.0)	(18, 335836.0)	(19, 473045.0)	(20, 360532.0)	(21, 398829.0)	(22, 669701.0)	(23, 460828.0)	(24, 404160.0)	(25, 352140.0)	(26, 344206.0)	(27, 385550.0)	(28, 434202.0)	(29, 940731.0)	(30, 959729.0)	(31, 531722.0)	(32, 369956.0)	(33, 275450.0)	(34, 283869.0)	(35, 223222.0)	(36, 225500.0)	(37, 177065.0)	(38, 99778.0)	(39, 84247.0)	(40, 199981.0)	(41, 223976.0)	(42, 171466.0)	(43, 165273.0)	(44, 103853.0)	(45, 76258.0)	(46, 51632.0)	(47, 42583.0)	(48, 53438.0)	(49, 68619.0)	(50, 50063.0)	(51, 39793.0)	(52, 64618.0)	(53, 36643.0)	(54, 28272.0)	(55, 33169.0)
SRR34661422	(15, 308567.0)	(16, 287673.0)	(17, 295562.0)	(18, 302233.0)	(19, 422184.0)	(20, 370484.0)	(21, 368043.0)	(22, 705446.0)	(23, 465232.0)	(24, 405035.0)	(25, 346073.0)	(26, 345713.0)	(27, 336871.0)	(28, 382373.0)	(29, 718760.0)	(30, 954628.0)	(31, 534967.0)	(32, 279503.0)	(33, 214101.0)	(34, 218405.0)	(35, 179896.0)	(36, 194064.0)	(37, 208829.0)	(38, 104053.0)	(39, 87881.0)	(40, 208311.0)	(41, 209454.0)	(42, 192797.0)	(43, 186604.0)	(44, 112333.0)	(45, 79027.0)	(46, 57690.0)	(47, 49569.0)	(48, 64534.0)	(49, 86627.0)	(50, 68991.0)	(51, 57535.0)	(52, 99625.0)	(53, 50485.0)	(54, 38672.0)	(55, 49132.0)
SRR34661423	(15, 219318.0)	(16, 218474.0)	(17, 220270.0)	(18, 235932.0)	(19, 373148.0)	(20, 259089.0)	(21, 249931.0)	(22, 474623.0)	(23, 293918.0)	(24, 235549.0)	(25, 195143.0)	(26, 189821.0)	(27, 203513.0)	(28, 222582.0)	(29, 437362.0)	(30, 565433.0)	(31, 327186.0)	(32, 191203.0)	(33, 147025.0)	(34, 151958.0)	(35, 135405.0)	(36, 155158.0)	(37, 172517.0)	(38, 75228.0)	(39, 60120.0)	(40, 135970.0)	(41, 160501.0)	(42, 132465.0)	(43, 135271.0)	(44, 72867.0)	(45, 57778.0)	(46, 40736.0)	(47, 35989.0)	(48, 45447.0)	(49, 58713.0)	(50, 42829.0)	(51, 34838.0)	(52, 47120.0)	(53, 31069.0)	(54, 25800.0)	(55, 26650.0)
SRR34661424	(15, 406340.0)	(16, 529545.0)	(17, 371441.0)	(18, 386090.0)	(19, 496909.0)	(20, 466149.0)	(21, 570204.0)	(22, 1093542.0)	(23, 687519.0)	(24, 502821.0)	(25, 397961.0)	(26, 376572.0)	(27, 318916.0)	(28, 404515.0)	(29, 639324.0)	(30, 852457.0)	(31, 663869.0)	(32, 515939.0)	(33, 438533.0)	(34, 457325.0)	(35, 271498.0)	(36, 218249.0)	(37, 204296.0)	(38, 157443.0)	(39, 130403.0)	(40, 134425.0)	(41, 181783.0)	(42, 221123.0)	(43, 183736.0)	(44, 141170.0)	(45, 113545.0)	(46, 93858.0)	(47, 91979.0)	(48, 94926.0)	(49, 103212.0)	(50, 71243.0)	(51, 62027.0)	(52, 151821.0)	(53, 79255.0)	(54, 53885.0)	(55, 54955.0)
SRR34661425	(15, 219433.0)	(16, 304851.0)	(17, 167716.0)	(18, 194314.0)	(19, 302648.0)	(20, 302569.0)	(21, 405334.0)	(22, 1020568.0)	(23, 599064.0)	(24, 345660.0)	(25, 272800.0)	(26, 273587.0)	(27, 247279.0)	(28, 298422.0)	(29, 498088.0)	(30, 675527.0)	(31, 463765.0)	(32, 351329.0)	(33, 281700.0)	(34, 288041.0)	(35, 162874.0)	(36, 149410.0)	(37, 144796.0)	(38, 96993.0)	(39, 82457.0)	(40, 130800.0)	(41, 129928.0)	(42, 170977.0)	(43, 115056.0)	(44, 93296.0)	(45, 83688.0)	(46, 60937.0)	(47, 52726.0)	(48, 51663.0)	(49, 54481.0)	(50, 48685.0)	(51, 49166.0)	(52, 78824.0)	(53, 62258.0)	(54, 44009.0)	(55, 41783.0)
