Sample	cutadapt_version	r_processed	r_with_adapters	r_too_short	r_too_long	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	r_filtered_unexplained
SRR34661416	5.2	12196040	11922094	1753681	1068908	9371594	1841602040	17570905	267408569	85.47956815903615	1857
SRR34661417	5.2	12551059	12301282	2142402	1480832	8924772	1895209909	18066350	255320123	86.5281348631868	3053
SRR34661418	5.2	11529170	11018153	1826678	1631394	8068012	1740904670	15979582	236971796	86.3880084829688	3086
SRR34661419	5.2	10196466	9779616	2350851	655571	7188068	1539666366	10857006	195980093	87.2712623119027	1976
SRR34661420	5.2	12322177	12063658	2223448	1373174	8723418	1860648727	14807416	244413718	86.86405905352817	2137
SRR34661421	5.2	14285606	14051336	1738631	1430837	11113928	2157126506	13840990	316283517	85.33773906536013	2210
SRR34661422	5.2	14093716	13855139	2260661	1183642	10647962	2128151116	18483301	307028971	85.5729713603665	1451
SRR34661423	5.2	10327614	9974212	1578900	1652696	7093949	1559469714	15540533	203233859	86.96775851589254	2069
SRR34661424	5.2	17924853	17750834	1533814	2966392	13390803	1176069310	2786661	381744003	67.54068831198393	33844
SRR34661425	5.2	13276355	13115068	748214	3077544	9417502	912718691	2842814	269085398	70.51825489569163	33095
SRR34661426	5.2	12525571	12312021	1269440	2210194	9005321	806017969	2565287	235177009	70.8223615297589	40616
SRR34661427	5.2	14547184	14233074	1327422	3565358	9598102	1000620825	2986209	263510752	73.66527405623404	56302
SRR34661428	5.2	21264995	20760421	2138841	3130723	15927809	1405151846	3438610	468063592	66.68946538892425	67622
SRR34661429	5.2	14785525	14521488	1211664	3220102	10303417	1024712389	2764693	311613998	69.59010144260098	50342
SRR34661430	5.2	18544996	18272181	1688816	2942840	13865234	1198959541	3393851	382980272	68.05728142581252	48106
SRR34661431	5.2	16728310	16346064	1524575	3175130	11991970	1118686663	3286166	333228142	70.2125579019261	36635
SRR34661432	5.2	29183088	26630995	3849858	5226690	19283981	2017818661	4040466	645561273	68.00697280299362	822559
SRR34661433	5.2	35385846	31257613	3624091	9644937	21471664	2693384436	3396236	713405081	73.51269015055674	645154
SRR34661434	5.2	28988650	26455356	3302854	5475129	19423448	2037166845	2781365	652916461	67.94977973441347	787219
SRR34661435	5.2	46145566	43963103	4404744	8457037	32744300	3262929921	3604149	1095914161	66.41318730301961	539485
SRR34661436	5.2	28079602	26448413	5249327	4833615	17277632	1851971347	5004607	566627546	69.40408679011813	719028
SRR34661437	5.2	30896231	28783268	4454931	6019802	19953336	2162167367	3339793	641590110	70.32652884359251	468162
SRR34661438	5.2	36492783	33390273	3773530	6641557	25349512	2614807866	3504406	850490337	67.47407914520936	728184
SRR34661439	5.2	28584624	26712504	3304324	5613785	19165791	2003427053	3187142	613792763	69.36285940229838	500724
SRR34661440	5.2	29871653	28591052	3419835	4527573	21465085	2013460293	2559143	697588021	65.35377313249057	459160
SRR34661441	5.2	12546391	11136000	994554	4194582	7149835	1014232646	1151579	247543547	75.5930211893416	207420
SRR34661442	5.2	33719048	32170627	4329123	6302347	22698404	2355593099	2791993	753823283	67.99857822133991	389174
SRR34661443	5.2	27502550	25168535	4475905	3198934	19235482	1771042596	3309837	582635303	67.1021293154713	592229
