Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR34661416	SRR34661416.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9371594.0	267.4 Mbp	0.0	15-55	49.0	14.5793431776753	28.533947266601604	29	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661417	SRR34661417.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8924772.0	255.3 Mbp	0.0	15-55	50.0	13.00084081869654	28.608027521599432	28	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661418	SRR34661418.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8068012.0	236.9 Mbp	0.0	15-55	51.0	9.049033233267343	29.371770393995448	29	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661419	SRR34661419.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7188068.0	195.9 Mbp	0.0	15-55	50.0	11.703251492360927	27.26464092994112	27	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661420	SRR34661420.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8723418.0	244.4 Mbp	0.0	15-55	49.0	13.544836550534342	28.018113771459763	27	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661421	SRR34661421.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11113928.0	316.2 Mbp	0.0	15-55	51.0	13.117422436769791	28.458301781332395	29	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661422	SRR34661422.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10647962.0	307 Mbp	0.0	15-55	50.0	14.469034201905423	28.834529180325774	28	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661423	SRR34661423.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7093949.0	203.2 Mbp	0.0	15-55	51.0	16.95249477307022	28.64890331182251	28	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661424	SRR34661424.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13390803.0	381.7 Mbp	0.0	15-55	53.0	2.1929354388446676	28.507924655451955	28	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661425	SRR34661425.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9417502.0	269 Mbp	0.0	15-55	49.0	3.4512375068395573	28.572905851254397	28	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661426	SRR34661426.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9005321.0	235.1 Mbp	0.0	15-55	52.0	2.844678985881372	26.115338809132957	23	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661427	SRR34661427.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9598102.0	263.5 Mbp	0.0	15-55	50.0	3.39458002104401	27.454464643113816	24	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661428	SRR34661428.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15927809.0	468 Mbp	0.0	15-55	52.0	15.257065010036378	29.386564843915444	29	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661429	SRR34661429.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10303417.0	311.6 Mbp	0.0	15-55	50.0	3.890705435745498	30.243752921967538	30	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR34661430	SRR34661430.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13865234.0	382.9 Mbp	0.0	15-55	52.0	2.9142469942574274	27.621623407149134	25	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661431	SRR34661431.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11991970.0	333.2 Mbp	0.0	15-55	53.0	3.3126160923437884	27.787606373264776	26	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661432	SRR34661432.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19283981.0	645.5 Mbp	0.0	15-55	43.0	15.226654257741151	33.47655616337726	31	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661433	SRR34661433.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21471664.0	713.4 Mbp	0.0	15-55	43.0	13.568749550145483	33.2254212342369	31	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661434	SRR34661434.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19423448.0	652.9 Mbp	0.0	15-55	42.0	14.204087147516256	33.614858752163876	32	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661435	SRR34661435.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32744300.0	1 Gbp	0.0	15-55	46.0	12.48887633351349	33.4688529301283	32	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661436	SRR34661436.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17277632.0	566.6 Mbp	0.0	15-55	44.0	16.204331108596733	32.79544013901905	31	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661437	SRR34661437.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19953336.0	641.5 Mbp	0.0	15-55	44.0	14.827430496392296	32.15452844576967	30	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661438	SRR34661438.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25349512.0	850.4 Mbp	0.0	15-55	42.0	14.784818475318712	33.55056053939027	31	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661439	SRR34661439.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19165791.0	613.7 Mbp	0.0	15-55	44.0	15.465523815418573	32.02543338806105	30	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
SRR34661440	SRR34661440.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21465085.0	697.5 Mbp	0.0	15-55	44.0	15.181800786246171	32.498730892516846	31	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661441	SRR34661441.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7149835.0	247.5 Mbp	0.0	15-55	44.0	20.58124184217319	34.62227408045081	34	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661442	SRR34661442.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22698404.0	753.8 Mbp	0.0	15-55	44.0	13.570442825783985	33.21040911070223	32	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR34661443	SRR34661443.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19235482.0	582.6 Mbp	0.0	15-55	51.0	11.701488806126212	30.28961286231351	30	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
