Sample	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR34661416	85.47956815903615	85.4206568223247	49.0	28.533947266601604	29	36.36363636363637	9.371594
SRR34661417	86.5281348631868	86.99915918130345	50.0	28.608027521599432	28	36.36363636363637	8.924771999999999
SRR34661418	86.3880084829688	90.95096676673266	51.0	29.371770393995448	29	36.36363636363637	8.068012
SRR34661419	87.2712623119027	88.29674850763908	50.0	27.26464092994112	27	36.36363636363637	7.1880679999999995
SRR34661420	86.86405905352817	86.45516344946566	49.0	28.018113771459763	27	36.36363636363637	8.723417999999999
SRR34661421	85.33773906536013	86.88257756323021	51.0	28.458301781332395	29	45.45454545454545	11.113928
SRR34661422	85.5729713603665	85.53096579809457	50.0	28.834529180325774	28	36.36363636363637	10.647962
SRR34661423	86.96775851589254	83.04750522692979	51.0	28.64890331182251	28	36.36363636363637	7.093948999999999
SRR34661424	67.54068831198393	97.80706456115533	53.0	28.507924655451955	28	27.27272727272727	13.390803
SRR34661425	70.51825489569163	96.54876249316044	49.0	28.572905851254397	28	27.27272727272727	9.417501999999999
SRR34661426	70.8223615297589	97.15532101411863	52.0	26.115338809132957	23	36.36363636363637	9.005321
SRR34661427	73.66527405623404	96.605419978956	50.0	27.454464643113816	24	36.36363636363637	9.598101999999999
SRR34661428	66.68946538892425	84.74293498996363	52.0	29.386564843915444	29	27.27272727272727	15.927809
SRR34661429	69.59010144260098	96.1092945642545	50.0	30.243752921967538	30	18.181818181818183	10.303417
SRR34661430	68.05728142581252	97.08575300574257	52.0	27.621623407149134	25	27.27272727272727	13.865234
SRR34661431	70.2125579019261	96.68738390765621	53.0	27.787606373264776	26	27.27272727272727	11.99197
SRR34661432	68.00697280299362	84.77334574225885	43.0	33.47655616337726	31	36.36363636363637	19.283981
SRR34661433	73.51269015055674	86.43125044985452	43.0	33.2254212342369	31	36.36363636363637	21.471664
SRR34661434	67.94977973441347	85.79591285248374	42.0	33.614858752163876	32	36.36363636363637	19.423448
SRR34661435	66.41318730301961	87.51112366648651	46.0	33.4688529301283	32	36.36363636363637	32.744299999999996
SRR34661436	69.40408679011813	83.79566889140327	44.0	32.79544013901905	31	27.27272727272727	17.277632
SRR34661437	70.32652884359251	85.1725695036077	44.0	32.15452844576967	30	36.36363636363637	19.953336
SRR34661438	67.47407914520936	85.21518152468128	42.0	33.55056053939027	31	36.36363636363637	25.349511999999997
SRR34661439	69.36285940229838	84.53447618458142	44.0	32.02543338806105	30	27.27272727272727	19.165791
SRR34661440	65.35377313249057	84.81819921375383	44.0	32.498730892516846	31	36.36363636363637	21.465085
SRR34661441	75.5930211893416	79.41875815782682	44.0	34.62227408045081	34	45.45454545454545	7.1498349999999995
SRR34661442	67.99857822133991	86.42955717421601	44.0	33.21040911070223	32	36.36363636363637	22.698404
SRR34661443	67.1021293154713	88.2985111938738	51.0	30.28961286231351	30	36.36363636363637	19.235481999999998
