Module	Section	Sample Name	Source
Cutadapt	all_sections	SRR34661416	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661416.cutadapt.txt
Cutadapt	all_sections	SRR34661417	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661417.cutadapt.txt
Cutadapt	all_sections	SRR34661418	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661418.cutadapt.txt
Cutadapt	all_sections	SRR34661419	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661419.cutadapt.txt
Cutadapt	all_sections	SRR34661420	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661420.cutadapt.txt
Cutadapt	all_sections	SRR34661421	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661421.cutadapt.txt
Cutadapt	all_sections	SRR34661422	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661422.cutadapt.txt
Cutadapt	all_sections	SRR34661423	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661423.cutadapt.txt
Cutadapt	all_sections	SRR34661424	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661424.cutadapt.txt
Cutadapt	all_sections	SRR34661425	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661425.cutadapt.txt
Cutadapt	all_sections	SRR34661426	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661426.cutadapt.txt
Cutadapt	all_sections	SRR34661427	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661427.cutadapt.txt
Cutadapt	all_sections	SRR34661428	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661428.cutadapt.txt
Cutadapt	all_sections	SRR34661429	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661429.cutadapt.txt
Cutadapt	all_sections	SRR34661430	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661430.cutadapt.txt
Cutadapt	all_sections	SRR34661431	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661431.cutadapt.txt
Cutadapt	all_sections	SRR34661432	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661432.cutadapt.txt
